Origin Time:2024/06/06 14:18:12
Lon:121.71°E
Lat:24.31°N
Depth:31.7km
Mag:4.6
Stacode=EAH ,Staname=澳花  ,Stalon=121.74,Stalat=24.33,Dist=   3.29,BAZ=232.33,PGA(V)=   5.35,PGA(NS)=   6.73,PGA(EW)=   6.09,PGV(V)=   0.13,PGV(NS)=   0.19,PGV(EW)=   0.15,Int= 2級,PGA(SUM)=   6.22,PGV(SUM)=   0.21
Stacode=EHP ,Staname=和平  ,Stalon=121.75,Stalat=24.31,Dist=   3.63,BAZ=273.79,PGA(V)=   9.07,PGA(NS)=   9.43,PGA(EW)=   6.99,PGV(V)=   0.13,PGV(NS)=   0.35,PGV(EW)=   0.23,Int= 2級,PGA(SUM)=   7.46,PGV(SUM)=   0.37
Stacode=ENA ,Staname=南澳  ,Stalon=121.75,Stalat=24.43,Dist=  13.20,BAZ=195.75,PGA(V)=   9.95,PGA(NS)=  21.42,PGA(EW)=  19.34,PGV(V)=   0.09,PGV(NS)=   0.22,PGV(EW)=   0.23,Int= 3級,PGA(SUM)=   8.51,PGV(SUM)=   0.25
Stacode=EWT ,Staname=武塔  ,Stalon=121.78,Stalat=24.45,Dist=  16.21,BAZ=203.86,PGA(V)=   5.42,PGA(NS)=   6.26,PGA(EW)=   7.02,PGV(V)=   0.11,PGV(NS)=   0.16,PGV(EW)=   0.18,Int= 2級,PGA(SUM)=   5.27,PGV(SUM)=   0.19
Stacode=ETL ,Staname=太魯閣,Stalon=121.62,Stalat=24.16,Dist=  19.24,BAZ= 28.63,PGA(V)=   6.79,PGA(NS)=  26.42,PGA(EW)=  18.71,PGV(V)=   0.09,PGV(NS)=   0.51,PGV(EW)=   0.28,Int= 3級,PGA(SUM)=  17.92,PGV(SUM)=   0.51
Stacode=ETLH,Staname=西寶  ,Stalon=121.48,Stalat=24.21,Dist=  26.24,BAZ= 63.86,PGA(V)=  11.49,PGA(NS)=  17.56,PGA(EW)=  19.14,PGV(V)=   0.27,PGV(NS)=   0.44,PGV(EW)=   0.32,Int= 3級,PGA(SUM)=  12.96,PGV(SUM)=   0.45
Stacode=TWD ,Staname=秀林  ,Stalon=121.60,Stalat=24.08,Dist=  27.78,BAZ= 23.53,PGA(V)=   1.87,PGA(NS)=   1.82,PGA(EW)=   2.28,PGV(V)=   0.04,PGV(NS)=   0.05,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.92,PGV(SUM)=   0.08
Stacode=NDS ,Staname=冬山  ,Stalon=121.72,Stalat=24.63,Dist=  35.76,BAZ=180.51,PGA(V)=   0.63,PGA(NS)=   1.10,PGA(EW)=   0.86,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   1.15,PGV(SUM)=   0.05
Stacode=TWC ,Staname=蘇澳  ,Stalon=121.86,Stalat=24.61,Dist=  36.09,BAZ=204.27,PGA(V)=   0.87,PGA(NS)=   1.33,PGA(EW)=   1.88,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.94,PGV(SUM)=   0.06
Stacode=NNS ,Staname=南山  ,Stalon=121.38,Stalat=24.44,Dist=  36.50,BAZ=112.52,PGA(V)=   0.69,PGA(NS)=   3.33,PGA(EW)=   1.73,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   2.37,PGV(SUM)=   0.08
Stacode=NDT ,Staname=大同  ,Stalon=121.51,Stalat=24.60,Dist=  38.16,BAZ=147.75,PGA(V)=   0.61,PGA(NS)=   0.84,PGA(EW)=   1.03,PGV(V)=   0.02,PGV(NS)=   0.02,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   1.25,PGV(SUM)=   0.04
