Origin Time:2024/07/19 20:20:02
Lon:121.62°E
Lat:23.96°N
Depth:26.8km
Mag:4.6
Stacode=HWA ,Staname=花蓮市,Stalon=121.61,Stalat=23.98,Dist=   1.63,BAZ=140.52,PGA(V)=   3.33,PGA(NS)=   8.12,PGA(EW)=  11.98,PGV(V)=   0.10,PGV(NS)=   0.26,PGV(EW)=   0.44,Int= 3級,PGA(SUM)=  10.94,PGV(SUM)=   0.46
Stacode=EYL ,Staname=鹽寮  ,Stalon=121.60,Stalat=23.90,Dist=   7.03,BAZ= 18.55,PGA(V)=  13.40,PGA(NS)=  16.35,PGA(EW)=  22.44,PGV(V)=   0.28,PGV(NS)=   0.60,PGV(EW)=   0.68,Int= 3級,PGA(SUM)=  21.92,PGV(SUM)=   0.80
Stacode=TWD ,Staname=秀林  ,Stalon=121.60,Stalat=24.08,Dist=  13.16,BAZ=171.48,PGA(V)=   3.19,PGA(NS)=   4.02,PGA(EW)=   2.94,PGV(V)=   0.07,PGV(NS)=   0.08,PGV(EW)=   0.07,Int= 2級,PGA(SUM)=   2.96,PGV(SUM)=   0.09
Stacode=ETM ,Staname=銅門  ,Stalon=121.49,Stalat=23.97,Dist=  13.32,BAZ= 91.06,PGA(V)=   9.15,PGA(NS)=  13.28,PGA(EW)=  11.72,PGV(V)=   0.21,PGV(NS)=   0.38,PGV(EW)=   0.40,Int= 3級,PGA(SUM)=  11.71,PGV(SUM)=   0.49
Stacode=SHUL,Staname=水璉  ,Stalon=121.56,Stalat=23.79,Dist=  20.47,BAZ= 17.65,PGA(V)=   0.83,PGA(NS)=   1.89,PGA(EW)=   1.81,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.97,PGV(SUM)=   0.10
Stacode=ETL ,Staname=太魯閣,Stalon=121.62,Stalat=24.16,Dist=  21.60,BAZ=179.79,PGA(V)=   5.00,PGA(NS)=  18.78,PGA(EW)=  16.95,PGV(V)=   0.10,PGV(NS)=   0.50,PGV(EW)=   0.33,Int= 3級,PGA(SUM)=  16.43,PGV(SUM)=   0.50
Stacode=ESL ,Staname=西林  ,Stalon=121.44,Stalat=23.81,Dist=  25.02,BAZ= 47.82,PGA(V)=   2.83,PGA(NS)=   7.18,PGA(EW)=   8.50,PGV(V)=   0.06,PGV(NS)=   0.10,PGV(EW)=   0.11,Int= 2級,PGA(SUM)=   3.87,PGV(SUM)=   0.12
Stacode=EGC ,Staname=磯崎  ,Stalon=121.55,Stalat=23.71,Dist=  29.38,BAZ= 15.29,PGA(V)=   0.46,PGA(NS)=   3.38,PGA(EW)=   3.62,PGV(V)=   0.03,PGV(NS)=   0.10,PGV(EW)=   0.11,Int= 2級,PGA(SUM)=   3.74,PGV(SUM)=   0.11
Stacode=ETLH,Staname=西寶  ,Stalon=121.48,Stalat=24.21,Dist=  30.55,BAZ=151.81,PGA(V)=   5.56,PGA(NS)=  10.64,PGA(EW)=   9.69,PGV(V)=   0.16,PGV(NS)=   0.27,PGV(EW)=   0.31,Int= 3級,PGA(SUM)=   9.93,PGV(SUM)=   0.33
Stacode=EGFH,Staname=光復  ,Stalon=121.43,Stalat=23.67,Dist=  38.28,BAZ= 31.48,PGA(V)=   3.28,PGA(NS)=   2.94,PGA(EW)=   4.42,PGV(V)=   0.05,PGV(NS)=   0.09,PGV(EW)=   0.09,Int= 2級,PGA(SUM)=   3.56,PGV(SUM)=   0.10
Stacode=EHP ,Staname=和平  ,Stalon=121.75,Stalat=24.31,Dist=  40.33,BAZ=198.47,PGA(V)=   4.11,PGA(NS)=   3.15,PGA(EW)=   3.50,PGV(V)=   0.11,PGV(NS)=   0.14,PGV(EW)=   0.15,Int= 2級,PGA(SUM)=   3.73,PGV(SUM)=   0.18
