Origin Time:2024/07/26 21:49:09
Lon:120.68¢XE
Lat:22.85¢XN
Depth:17.4km
Mag:4.6
Stacode=SMG ,Staname=º¿®a  ,Stalon=120.64,Stalat=22.71,Dist=  16.41,BAZ= 14.11,PGA(V)=  11.57,PGA(NS)=  42.84,PGA(EW)=  25.29,PGV(V)=   0.26,PGV(NS)=   0.80,PGV(EW)=   0.75,Int= 4¯Å,PGA(SUM)=  38.51,PGV(SUM)=   0.90
Stacode=SLG ,Staname=¤»Àt  ,Stalon=120.65,Stalat=22.99,Dist=  16.44,BAZ=166.48,PGA(V)=   3.94,PGA(NS)=   5.33,PGA(EW)=   5.17,PGV(V)=   0.09,PGV(NS)=   0.18,PGV(EW)=   0.17,Int= 2¯Å,PGA(SUM)=   4.96,PGV(SUM)=   0.19
Stacode=SGL ,Staname=¤E¦p  ,Stalon=120.50,Stalat=22.72,Dist=  23.54,BAZ= 53.78,PGA(V)=   1.95,PGA(NS)=   3.40,PGA(EW)=   3.41,PGV(V)=   0.05,PGV(NS)=   0.13,PGV(EW)=   0.19,Int= 2¯Å,PGA(SUM)=   3.45,PGV(SUM)=   0.21
Stacode=SPT ,Staname=«ÌªF¥«,Stalon=120.50,Stalat=22.68,Dist=  27.11,BAZ= 45.27,PGA(V)=   3.15,PGA(NS)=   4.51,PGA(EW)=   3.19,PGV(V)=   0.08,PGV(NS)=   0.16,PGV(EW)=   0.13,Int= 2¯Å,PGA(SUM)=   4.24,PGV(SUM)=   0.17
Stacode=SGS ,Staname=¥Ò¥P  ,Stalon=120.59,Stalat=23.08,Dist=  27.34,BAZ=159.61,PGA(V)=   0.83,PGA(NS)=   2.06,PGA(EW)=   1.56,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   1.94,PGV(SUM)=   0.09
Stacode=SNJ ,Staname=·£±ê  ,Stalon=120.34,Stalat=22.75,Dist=  37.31,BAZ= 73.50,PGA(V)=   1.78,PGA(NS)=   2.07,PGA(EW)=   1.83,PGV(V)=   0.05,PGV(NS)=   0.10,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   2.15,PGV(SUM)=   0.10
Stacode=STYH,Staname=®ç·½  ,Stalon=120.78,Stalat=23.18,Dist=  37.92,BAZ=195.27,PGA(V)=   0.95,PGA(NS)=   1.84,PGA(EW)=   1.43,PGV(V)=   0.04,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.73,PGV(SUM)=   0.06
Stacode=SHH ,Staname=·s¤Æ  ,Stalon=120.35,Stalat=23.02,Dist=  39.37,BAZ=118.99,PGA(V)=   1.88,PGA(NS)=   2.58,PGA(EW)=   2.03,PGV(V)=   0.06,PGV(NS)=   0.12,PGV(EW)=   0.11,Int= 2¯Å,PGA(SUM)=   2.56,PGV(SUM)=   0.13
Stacode=ECL ,Staname=¤Ó³Â¨½,Stalon=120.96,Stalat=22.60,Dist=  40.03,BAZ=314.49,PGA(V)=   4.32,PGA(NS)=   2.11,PGA(EW)=   1.94,PGV(V)=   0.09,PGV(NS)=   0.07,PGV(EW)=   0.08,Int= 2¯Å,PGA(SUM)=   2.71,PGV(SUM)=   0.09
Stacode=CHN1,Staname=·£¦è  ,Stalon=120.53,Stalat=23.18,Dist=  40.45,BAZ=156.86,PGA(V)=   1.52,PGA(NS)=   1.40,PGA(EW)=   1.23,PGV(V)=   0.05,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.41,PGV(SUM)=   0.06
Stacode=TWG ,Staname=¨õ«n  ,Stalon=121.08,Stalat=22.82,Dist=  40.83,BAZ=274.92,PGA(V)=   1.54,PGA(NS)=   1.67,PGA(EW)=   1.47,PGV(V)=   0.06,PGV(NS)=   0.10,PGV(EW)=   0.10,Int= 1¯Å,PGA(SUM)=   1.78,PGV(SUM)=   0.12
Stacode=D009,Staname=¸ô¦Ë  ,Stalon=120.26,Stalat=22.87,Dist=  43.08,BAZ= 92.73,PGA(V)=   1.34,PGA(NS)=   1.53,PGA(EW)=   1.17,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.23,PGV(SUM)=   0.06
Stacode=WTP ,Staname=¤j®H  ,Stalon=120.62,Stalat=23.24,Dist=  44.17,BAZ=171.81,PGA(V)=   1.25,PGA(NS)=   1.26,PGA(EW)=   1.88,PGV(V)=   0.04,PGV(NS)=   0.05,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.62,PGV(SUM)=   0.08
Stacode=LONT,Staname=³À³¥  ,Stalon=121.13,Stalat=22.91,Dist=  46.22,BAZ=262.11,PGA(V)=   0.98,PGA(NS)=   0.93,PGA(EW)=   1.39,PGV(V)=   0.04,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.36,PGV(SUM)=   0.07
Stacode=D033,Staname=ªF´ä  ,Stalon=120.46,Stalat=22.46,Dist=  48.58,BAZ= 28.15,PGA(V)=   0.77,PGA(NS)=   0.79,PGA(EW)=   0.87,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   0.92,PGV(SUM)=   0.08
Stacode=TTN ,Staname=»OªF¥«,Stalon=121.15,Stalat=22.75,Dist=  49.55,BAZ=282.49,PGA(V)=   1.15,PGA(NS)=   0.58,PGA(EW)=   1.02,PGV(V)=   0.05,PGV(NS)=   0.04,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.10,PGV(SUM)=   0.05
Stacode=TAI1,Staname=¥Ã±d  ,Stalon=120.24,Stalat=23.04,Dist=  50.40,BAZ=114.54,PGA(V)=   0.50,PGA(NS)=   0.83,PGA(EW)=   0.94,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   0.97,PGV(SUM)=   0.05
Stacode=ELD ,Staname=§Q½_  ,Stalon=121.03,Stalat=23.19,Dist=  51.25,BAZ=223.06,PGA(V)=   0.61,PGA(NS)=   0.62,PGA(EW)=   0.84,PGV(V)=   0.02,PGV(NS)=   0.02,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   0.86,PGV(SUM)=   0.04
Stacode=SSH ,Staname=µ½¤Æ  ,Stalon=120.29,Stalat=23.14,Dist=  51.52,BAZ=128.11,PGA(V)=   1.11,PGA(NS)=   1.49,PGA(EW)=   1.70,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.79,PGV(SUM)=   0.07
Stacode=TAI ,Staname=»O«n¥«,Stalon=120.20,Stalat=22.99,Dist=  51.66,BAZ=108.01,PGA(V)=   2.28,PGA(NS)=   3.09,PGA(EW)=   2.09,PGV(V)=   0.05,PGV(NS)=   0.09,PGV(EW)=   0.07,Int= 2¯Å,PGA(SUM)=   2.88,PGV(SUM)=   0.09
Stacode=EAS ,Staname=¹F¤¯  ,Stalon=120.86,Stalat=22.38,Dist=  54.68,BAZ=341.05,PGA(V)=   0.56,PGA(NS)=   1.28,PGA(EW)=   1.19,PGV(V)=   0.03,PGV(NS)=   0.04,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.34,PGV(SUM)=   0.06
Stacode=TAWH,Staname=¤jªZ  ,Stalon=120.89,Stalat=22.34,Dist=  60.17,BAZ=339.57,PGA(V)=   1.60,PGA(NS)=   1.35,PGA(EW)=   1.84,PGV(V)=   0.05,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.96,PGV(SUM)=   0.05
Stacode=SCL ,Staname=¨Î¨½  ,Stalon=120.20,Stalat=23.17,Dist=  61.13,BAZ=126.11,PGA(V)=   3.72,PGA(NS)=   2.88,PGA(EW)=   2.84,PGV(V)=   0.11,PGV(NS)=   0.09,PGV(EW)=   0.11,Int= 2¯Å,PGA(SUM)=   3.12,PGV(SUM)=   0.11
