Origin Time:2024/09/07 05:28:03
Lon:121.75°E
Lat:24.28°N
Depth:54.2km
Mag:4.9
Stacode=EHP ,Staname=和平  ,Stalon=121.75,Stalat=24.31,Dist=   2.72,BAZ=186.93,PGA(V)=   5.85,PGA(NS)=   9.86,PGA(EW)=   7.92,PGV(V)=   0.15,PGV(NS)=   0.37,PGV(EW)=   0.20,Int= 3級,PGA(SUM)=   9.46,PGV(SUM)=   0.41
Stacode=EAH ,Staname=澳花  ,Stalon=121.74,Stalat=24.33,Dist=   4.99,BAZ=171.98,PGA(V)=   6.11,PGA(NS)=   7.01,PGA(EW)=   9.31,PGV(V)=   0.15,PGV(NS)=   0.28,PGV(EW)=   0.39,Int= 3級,PGA(SUM)=   9.54,PGV(SUM)=   0.46
Stacode=ENA ,Staname=南澳  ,Stalon=121.75,Stalat=24.43,Dist=  15.65,BAZ=181.05,PGA(V)=   4.68,PGA(NS)=  14.50,PGA(EW)=  18.70,PGV(V)=   0.10,PGV(NS)=   0.21,PGV(EW)=   0.25,Int= 3級,PGA(SUM)=   8.66,PGV(SUM)=   0.27
Stacode=EWT ,Staname=武塔  ,Stalon=121.78,Stalat=24.45,Dist=  18.06,BAZ=190.40,PGA(V)=   5.00,PGA(NS)=   7.48,PGA(EW)=   8.63,PGV(V)=   0.09,PGV(NS)=   0.16,PGV(EW)=   0.15,Int= 2級,PGA(SUM)=   7.02,PGV(SUM)=   0.17
Stacode=ETL ,Staname=太魯閣,Stalon=121.62,Stalat=24.16,Dist=  18.75,BAZ= 41.90,PGA(V)=   4.01,PGA(NS)=  12.98,PGA(EW)=   9.39,PGV(V)=   0.05,PGV(NS)=   0.28,PGV(EW)=   0.13,Int= 3級,PGA(SUM)=   9.21,PGV(SUM)=   0.29
Stacode=TWD ,Staname=秀林  ,Stalon=121.60,Stalat=24.08,Dist=  26.74,BAZ= 32.57,PGA(V)=   2.16,PGA(NS)=   1.61,PGA(EW)=   1.75,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.55,PGV(SUM)=   0.05
Stacode=ETLH,Staname=西寶  ,Stalon=121.48,Stalat=24.21,Dist=  28.21,BAZ= 72.20,PGA(V)=  10.05,PGA(NS)=  14.43,PGA(EW)=  10.72,PGV(V)=   0.18,PGV(NS)=   0.27,PGV(EW)=   0.22,Int= 3級,PGA(SUM)=  11.65,PGV(SUM)=   0.31
Stacode=HWA ,Staname=花蓮市,Stalon=121.61,Stalat=23.98,Dist=  36.85,BAZ= 21.46,PGA(V)=   1.71,PGA(NS)=   3.37,PGA(EW)=   3.64,PGV(V)=   0.05,PGV(NS)=   0.13,PGV(EW)=   0.14,Int= 2級,PGA(SUM)=   3.45,PGV(SUM)=   0.15
Stacode=TWC ,Staname=蘇澳  ,Stalon=121.86,Stalat=24.61,Dist=  37.65,BAZ=197.85,PGA(V)=   2.57,PGA(NS)=   2.25,PGA(EW)=   3.19,PGV(V)=   0.07,PGV(NS)=   0.06,PGV(EW)=   0.08,Int= 2級,PGA(SUM)=   3.45,PGV(SUM)=   0.10
Stacode=NDS ,Staname=冬山  ,Stalon=121.72,Stalat=24.63,Dist=  38.81,BAZ=175.60,PGA(V)=   1.42,PGA(NS)=   1.52,PGA(EW)=   1.65,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.84,PGV(SUM)=   0.06
Stacode=NDT ,Staname=大同  ,Stalon=121.51,Stalat=24.60,Dist=  42.42,BAZ=146.09,PGA(V)=   1.64,PGA(NS)=   2.70,PGA(EW)=   5.33,PGV(V)=   0.05,PGV(NS)=   0.08,PGV(EW)=   0.11,Int= 2級,PGA(SUM)=   4.42,PGV(SUM)=   0.12
