Origin Time:2024/09/07 13:16:50
Lon:121.69¢XE
Lat:23.96¢XN
Depth:29.5km
Mag:5.3
Stacode=HWA ,Staname=ªá½¬¥«,Stalon=121.61,Stalat=23.98,Dist=   8.25,BAZ=103.86,PGA(V)=  17.18,PGA(NS)=  65.11,PGA(EW)=  61.17,PGV(V)=   0.69,PGV(NS)=   3.03,PGV(EW)=   3.00,Int= 4¯Å,PGA(SUM)=  66.96,PGV(SUM)=   3.32
Stacode=EYL ,Staname=ÆQ¼d  ,Stalon=121.60,Stalat=23.90,Dist=  10.96,BAZ= 57.16,PGA(V)=  42.64,PGA(NS)= 101.16,PGA(EW)= 196.44,PGV(V)=   2.36,PGV(NS)=   4.25,PGV(EW)=   5.59,Int= 4¯Å,PGA(SUM)= 202.26,PGV(SUM)=   6.26
Stacode=TWD ,Staname=¨qªL  ,Stalon=121.60,Stalat=24.08,Dist=  16.38,BAZ=147.01,PGA(V)=   6.33,PGA(NS)=  10.93,PGA(EW)=   9.19,PGV(V)=   0.32,PGV(NS)=   0.42,PGV(EW)=   0.56,Int= 3¯Å,PGA(SUM)=  11.31,PGV(SUM)=   0.56
Stacode=ETM ,Staname=»Éªù  ,Stalon=121.49,Stalat=23.97,Dist=  20.31,BAZ= 92.73,PGA(V)=  17.32,PGA(NS)=  54.46,PGA(EW)=  32.97,PGV(V)=   0.66,PGV(NS)=   1.86,PGV(EW)=   1.47,Int= 4¯Å,PGA(SUM)=  43.49,PGV(SUM)=   2.18
Stacode=SHUL,Staname=¤ôæ£  ,Stalon=121.56,Stalat=23.79,Dist=  22.96,BAZ= 35.06,PGA(V)=   3.92,PGA(NS)=   7.99,PGA(EW)=   7.77,PGV(V)=   0.16,PGV(NS)=   0.28,PGV(EW)=   0.30,Int= 3¯Å,PGA(SUM)=   8.57,PGV(SUM)=   0.38
Stacode=ETL ,Staname=¤Ó¾|»Õ,Stalon=121.62,Stalat=24.16,Dist=  23.41,BAZ=162.49,PGA(V)=   8.90,PGA(NS)=  28.08,PGA(EW)=  22.81,PGV(V)=   0.19,PGV(NS)=   0.89,PGV(EW)=   0.65,Int= 3¯Å,PGA(SUM)=  24.09,PGV(SUM)=   0.95
Stacode=ESL ,Staname=¦èªL  ,Stalon=121.44,Stalat=23.81,Dist=  30.16,BAZ= 57.78,PGA(V)=   9.37,PGA(NS)=  12.76,PGA(EW)=  18.66,PGV(V)=   0.18,PGV(NS)=   0.35,PGV(EW)=   0.45,Int= 3¯Å,PGA(SUM)=  13.66,PGV(SUM)=   0.49
Stacode=EGC ,Staname=ÁF±T  ,Stalon=121.55,Stalat=23.71,Dist=  31.30,BAZ= 28.07,PGA(V)=   4.77,PGA(NS)=  40.23,PGA(EW)=  31.09,PGV(V)=   0.29,PGV(NS)=   1.77,PGV(EW)=   1.20,Int= 4¯Å,PGA(SUM)=  43.42,PGV(SUM)=   1.87
Stacode=ETLH,Staname=¦èÄ_  ,Stalon=121.48,Stalat=24.21,Dist=  34.96,BAZ=142.26,PGA(V)=  17.78,PGA(NS)=  25.50,PGA(EW)=  16.67,PGV(V)=   0.47,PGV(NS)=   1.08,PGV(EW)=   0.64,Int= 4¯Å,PGA(SUM)=  28.62,PGV(SUM)=   1.26
Stacode=EHP ,Staname=©M¥­  ,Stalon=121.75,Stalat=24.31,Dist=  39.40,BAZ=188.49,PGA(V)=   8.91,PGA(NS)=  15.67,PGA(EW)=  16.18,PGV(V)=   0.36,PGV(NS)=   0.64,PGV(EW)=   0.55,Int= 3¯Å,PGA(SUM)=  16.42,PGV(SUM)=   0.82
Stacode=EAH ,Staname=¿Dªá  ,Stalon=121.74,Stalat=24.33,Dist=  41.49,BAZ=186.63,PGA(V)=   7.94,PGA(NS)=  11.09,PGA(EW)=   9.12,PGV(V)=   0.36,PGV(NS)=   0.51,PGV(EW)=   0.45,Int= 3¯Å,PGA(SUM)=  12.51,PGV(SUM)=   0.69
Stacode=EGFH,Staname=¥ú´_  ,Stalon=121.43,Stalat=23.67,Dist=  41.79,BAZ= 40.19,PGA(V)=   5.60,PGA(NS)=   8.00,PGA(EW)=   8.49,PGV(V)=   0.20,PGV(NS)=   0.38,PGV(EW)=   0.37,Int= 3¯Å,PGA(SUM)=   9.69,PGV(SUM)=   0.39
Stacode=WHF ,Staname=¦XÅw¤s,Stalon=121.27,Stalat=24.14,Dist=  47.40,BAZ=115.79,PGA(V)=   3.96,PGA(NS)=   9.36,PGA(EW)=  14.28,PGV(V)=   0.18,PGV(NS)=   0.36,PGV(EW)=   0.66,Int= 3¯Å,PGA(SUM)=  16.67,PGV(SUM)=   0.72
Stacode=ENA ,Staname=«n¿D  ,Stalon=121.75,Stalat=24.43,Dist=  52.24,BAZ=186.35,PGA(V)=   4.57,PGA(NS)=  17.25,PGA(EW)=  14.13,PGV(V)=   0.13,PGV(NS)=   0.65,PGV(EW)=   0.36,Int= 3¯Å,PGA(SUM)=  17.47,PGV(SUM)=   0.74
Stacode=OWD ,Staname=¶ø¸U¤j,Stalon=121.18,Stalat=23.95,Dist=  52.55,BAZ= 89.68,PGA(V)=   3.27,PGA(NS)=   5.65,PGA(EW)=   6.69,PGV(V)=   0.09,PGV(NS)=   0.17,PGV(EW)=   0.23,Int= 2¯Å,PGA(SUM)=   7.02,PGV(SUM)=   0.24
