Origin Time:2024/09/13 12:59:33
Lon:121.70°E
Lat:23.96°N
Depth:29.2km
Mag:5.0
Stacode=HWA ,Staname=花蓮市,Stalon=121.61,Stalat=23.98,Dist=   8.62,BAZ=102.11,PGA(V)=  12.66,PGA(NS)=  34.12,PGA(EW)=  34.05,PGV(V)=   0.43,PGV(NS)=   1.07,PGV(EW)=   1.20,Int= 4級,PGA(SUM)=  34.92,PGV(SUM)=   1.26
Stacode=EYL ,Staname=鹽寮  ,Stalon=121.60,Stalat=23.90,Dist=  11.41,BAZ= 57.62,PGA(V)=  20.56,PGA(NS)=  49.40,PGA(EW)=  67.95,PGV(V)=   0.85,PGV(NS)=   1.64,PGV(EW)=   2.37,Int= 4級,PGA(SUM)=  82.78,PGV(SUM)=   2.80
Stacode=TWD ,Staname=秀林  ,Stalon=121.60,Stalat=24.08,Dist=  16.48,BAZ=145.46,PGA(V)=   3.78,PGA(NS)=   5.53,PGA(EW)=   6.30,PGV(V)=   0.09,PGV(NS)=   0.16,PGV(EW)=   0.17,Int= 2級,PGA(SUM)=   4.86,PGV(SUM)=   0.19
Stacode=ETM ,Staname=銅門  ,Stalon=121.49,Stalat=23.97,Dist=  20.73,BAZ= 92.22,PGA(V)=   8.84,PGA(NS)=  13.28,PGA(EW)=  14.71,PGV(V)=   0.17,PGV(NS)=   0.46,PGV(EW)=   0.32,Int= 3級,PGA(SUM)=  13.99,PGV(SUM)=   0.47
Stacode=SHUL,Staname=水璉  ,Stalon=121.56,Stalat=23.79,Dist=  23.34,BAZ= 35.67,PGA(V)=   1.73,PGA(NS)=   2.92,PGA(EW)=   2.55,PGV(V)=   0.05,PGV(NS)=   0.09,PGV(EW)=   0.12,Int= 2級,PGA(SUM)=   2.95,PGV(SUM)=   0.12
Stacode=ETL ,Staname=太魯閣,Stalon=121.62,Stalat=24.16,Dist=  23.38,BAZ=161.37,PGA(V)=   6.25,PGA(NS)=  40.24,PGA(EW)=  19.43,PGV(V)=   0.12,PGV(NS)=   0.71,PGV(EW)=   0.36,Int= 4級,PGA(SUM)=  28.56,PGV(SUM)=   0.73
Stacode=ESL ,Staname=西林  ,Stalon=121.44,Stalat=23.81,Dist=  30.61,BAZ= 57.94,PGA(V)=   4.00,PGA(NS)=   6.65,PGA(EW)=   8.10,PGV(V)=   0.09,PGV(NS)=   0.13,PGV(EW)=   0.18,Int= 2級,PGA(SUM)=   4.72,PGV(SUM)=   0.19
Stacode=EGC ,Staname=磯崎  ,Stalon=121.55,Stalat=23.71,Dist=  31.65,BAZ= 28.61,PGA(V)=   2.30,PGA(NS)=  10.20,PGA(EW)=  10.82,PGV(V)=   0.10,PGV(NS)=   0.41,PGV(EW)=   0.48,Int= 3級,PGA(SUM)=  12.35,PGV(SUM)=   0.49
Stacode=ETLH,Staname=西寶  ,Stalon=121.48,Stalat=24.21,Dist=  35.09,BAZ=141.55,PGA(V)=   4.63,PGA(NS)=   5.47,PGA(EW)=   5.54,PGV(V)=   0.11,PGV(NS)=   0.18,PGV(EW)=   0.20,Int= 2級,PGA(SUM)=   6.32,PGV(SUM)=   0.21
Stacode=EHP ,Staname=和平  ,Stalon=121.75,Stalat=24.31,Dist=  39.17,BAZ=187.91,PGA(V)=   5.70,PGA(NS)=   8.55,PGA(EW)=   9.07,PGV(V)=   0.16,PGV(NS)=   0.31,PGV(EW)=   0.33,Int= 3級,PGA(SUM)=  10.31,PGV(SUM)=   0.37
Stacode=EAH ,Staname=澳花  ,Stalon=121.74,Stalat=24.33,Dist=  41.28,BAZ=186.07,PGA(V)=   4.38,PGA(NS)=   4.43,PGA(EW)=   6.09,PGV(V)=   0.14,PGV(NS)=   0.19,PGV(EW)=   0.20,Int= 2級,PGA(SUM)=   6.49,PGV(SUM)=   0.22
