Origin Time:2024/09/19 01:10:15
Lon:121.50°E
Lat:24.08°N
Depth:19.6km
Mag:4.7
Stacode=ETM ,Staname=銅門  ,Stalon=121.49,Stalat=23.97,Dist=  12.55,BAZ=  2.03,PGA(V)=  14.63,PGA(NS)=  25.99,PGA(EW)=  24.88,PGV(V)=   0.17,PGV(NS)=   0.34,PGV(EW)=   0.24,Int= 3級,PGA(SUM)=  11.01,PGV(SUM)=   0.37
Stacode=ETLH,Staname=西寶  ,Stalon=121.48,Stalat=24.21,Dist=  14.22,BAZ=173.65,PGA(V)=  23.01,PGA(NS)=  28.49,PGA(EW)=  22.72,PGV(V)=   0.42,PGV(NS)=   0.50,PGV(EW)=   0.47,Int= 3級,PGA(SUM)=  20.17,PGV(SUM)=   0.58
Stacode=ETL ,Staname=太魯閣,Stalon=121.62,Stalat=24.16,Dist=  15.52,BAZ=235.42,PGA(V)=   9.04,PGA(NS)=  24.53,PGA(EW)=  21.04,PGV(V)=   0.09,PGV(NS)=   0.32,PGV(EW)=   0.26,Int= 3級,PGA(SUM)=  15.68,PGV(SUM)=   0.38
Stacode=HWA ,Staname=花蓮市,Stalon=121.61,Stalat=23.98,Dist=  16.53,BAZ=314.27,PGA(V)=   3.81,PGA(NS)=  10.47,PGA(EW)=  12.08,PGV(V)=   0.07,PGV(NS)=   0.24,PGV(EW)=   0.28,Int= 2級,PGA(SUM)=   7.46,PGV(SUM)=   0.28
Stacode=EYL ,Staname=鹽寮  ,Stalon=121.60,Stalat=23.90,Dist=  22.17,BAZ=331.34,PGA(V)=   2.08,PGA(NS)=   2.95,PGA(EW)=   2.48,PGV(V)=   0.05,PGV(NS)=   0.10,PGV(EW)=   0.07,Int= 2級,PGA(SUM)=   2.67,PGV(SUM)=   0.11
Stacode=WHF ,Staname=合歡山,Stalon=121.27,Stalat=24.14,Dist=  23.92,BAZ=107.30,PGA(V)=   3.32,PGA(NS)=   8.64,PGA(EW)=  11.51,PGV(V)=   0.13,PGV(NS)=   0.24,PGV(EW)=   0.37,Int= 3級,PGA(SUM)=  10.35,PGV(SUM)=   0.37
Stacode=FUSS,Staname=梨山  ,Stalon=121.24,Stalat=24.25,Dist=  31.79,BAZ=125.93,PGA(V)=   4.23,PGA(NS)=  13.17,PGA(EW)=  11.93,PGV(V)=   0.13,PGV(NS)=   0.37,PGV(EW)=   0.41,Int= 3級,PGA(SUM)=  15.80,PGV(SUM)=   0.53
Stacode=OWD ,Staname=奧萬大,Stalon=121.18,Stalat=23.95,Dist=  35.49,BAZ= 67.10,PGA(V)=   5.29,PGA(NS)=   5.74,PGA(EW)=   5.33,PGV(V)=   0.09,PGV(NS)=   0.13,PGV(EW)=   0.10,Int= 2級,PGA(SUM)=   5.35,PGV(SUM)=   0.14
Stacode=EHP ,Staname=和平  ,Stalon=121.75,Stalat=24.31,Dist=  36.12,BAZ=225.19,PGA(V)=   3.67,PGA(NS)=   6.08,PGA(EW)=   5.65,PGV(V)=   0.09,PGV(NS)=   0.14,PGV(EW)=   0.13,Int= 2級,PGA(SUM)=   5.50,PGV(SUM)=   0.15
Stacode=EAH ,Staname=澳花  ,Stalon=121.74,Stalat=24.33,Dist=  37.05,BAZ=221.60,PGA(V)=   4.28,PGA(NS)=   6.14,PGA(EW)=   3.39,PGV(V)=   0.09,PGV(NS)=   0.09,PGV(EW)=   0.10,Int= 2級,PGA(SUM)=   3.89,PGV(SUM)=   0.11
Stacode=TWT ,Staname=德基  ,Stalon=121.16,Stalat=24.25,Dist=  38.95,BAZ=118.97,PGA(V)=   4.08,PGA(NS)=  11.66,PGA(EW)=   6.85,PGV(V)=   0.19,PGV(NS)=   0.41,PGV(EW)=   0.26,Int= 3級,PGA(SUM)=  10.77,PGV(SUM)=   0.42
Stacode=EGC ,Staname=磯崎  ,Stalon=121.55,Stalat=23.71,Dist=  41.45,BAZ=352.88,PGA(V)=   0.33,PGA(NS)=   1.24,PGA(EW)=   1.20,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.11,PGV(SUM)=   0.04
Stacode=EGFH,Staname=光復  ,Stalon=121.43,Stalat=23.67,Dist=  45.99,BAZ=  8.88,PGA(V)=   4.61,PGA(NS)=   3.84,PGA(EW)=   3.17,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.07,Int= 2級,PGA(SUM)=   2.78,PGV(SUM)=   0.08
Stacode=ENA ,Staname=南澳  ,Stalon=121.75,Stalat=24.43,Dist=  46.14,BAZ=213.66,PGA(V)=   5.23,PGA(NS)=  19.21,PGA(EW)=  21.64,PGV(V)=   0.11,PGV(NS)=   0.25,PGV(EW)=   0.27,Int= 3級,PGA(SUM)=  11.33,PGV(SUM)=   0.34
Stacode=EWT ,Staname=武塔  ,Stalon=121.78,Stalat=24.45,Dist=  49.56,BAZ=215.16,PGA(V)=   5.10,PGA(NS)=   7.36,PGA(EW)=   8.06,PGV(V)=   0.11,PGV(NS)=   0.14,PGV(EW)=   0.17,Int= 2級,PGA(SUM)=   7.42,PGV(SUM)=   0.23
Stacode=WPL ,Staname=埔里  ,Stalon=120.96,Stalat=24.01,Dist=  55.40,BAZ= 82.33,PGA(V)=   1.06,PGA(NS)=   0.73,PGA(EW)=   0.88,PGV(V)=   0.03,PGV(NS)=   0.02,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   1.14,PGV(SUM)=   0.04
Stacode=NDT ,Staname=大同  ,Stalon=121.51,Stalat=24.60,Dist=  57.99,BAZ=181.57,PGA(V)=   0.82,PGA(NS)=   0.98,PGA(EW)=   1.34,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.31,PGV(SUM)=   0.05
Stacode=WCS ,Staname=國姓  ,Stalon=120.91,Stalat=24.06,Dist=  59.59,BAZ= 87.60,PGA(V)=   0.51,PGA(NS)=   0.88,PGA(EW)=   0.73,PGV(V)=   0.01,PGV(NS)=   0.02,PGV(EW)=   0.02,Int= 1級,PGA(SUM)=   0.85,PGV(SUM)=   0.02
Stacode=WHP ,Staname=烏石坑,Stalon=120.95,Stalat=24.28,Dist=  60.18,BAZ=111.43,PGA(V)=   0.55,PGA(NS)=   1.25,PGA(EW)=   1.10,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.24,PGV(SUM)=   0.06
Stacode=SML ,Staname=日月潭,Stalon=120.91,Stalat=23.88,Dist=  63.81,BAZ= 69.91,PGA(V)=   0.31,PGA(NS)=   0.50,PGA(EW)=   0.95,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   0.99,PGV(SUM)=   0.07
