Origin Time:2024/10/13 19:36:31
Lon:121.51°E
Lat:24.03°N
Depth:20.4km
Mag:4.9
Stacode=ETM ,Staname=銅門  ,Stalon=121.49,Stalat=23.97,Dist=   7.49,BAZ= 10.86,PGA(V)=  50.23,PGA(NS)=  91.19,PGA(EW)=  69.60,PGV(V)=   0.82,PGV(NS)=   1.72,PGV(EW)=   1.36,Int= 4級,PGA(SUM)=  59.04,PGV(SUM)=   1.73
Stacode=HWA ,Staname=花蓮市,Stalon=121.61,Stalat=23.98,Dist=  12.59,BAZ=300.29,PGA(V)=  11.49,PGA(NS)=  48.59,PGA(EW)=  34.32,PGV(V)=   0.31,PGV(NS)=   1.70,PGV(EW)=   1.19,Int= 4級,PGA(SUM)=  43.54,PGV(SUM)=   1.79
Stacode=EYL ,Staname=鹽寮  ,Stalon=121.60,Stalat=23.90,Dist=  17.24,BAZ=325.87,PGA(V)=  14.37,PGA(NS)=  33.99,PGA(EW)=  48.65,PGV(V)=   0.63,PGV(NS)=   1.05,PGV(EW)=   1.76,Int= 4級,PGA(SUM)=  50.25,PGV(SUM)=   1.81
Stacode=ETL ,Staname=太魯閣,Stalon=121.62,Stalat=24.16,Dist=  18.32,BAZ=220.17,PGA(V)=  14.09,PGA(NS)=  40.76,PGA(EW)=  37.53,PGV(V)=   0.16,PGV(NS)=   0.63,PGV(EW)=   0.31,Int= 3級,PGA(SUM)=  22.35,PGV(SUM)=   0.64
Stacode=ETLH,Staname=西寶  ,Stalon=121.48,Stalat=24.21,Dist=  19.49,BAZ=172.52,PGA(V)=  58.05,PGA(NS)=  59.13,PGA(EW)=  45.27,PGV(V)=   1.73,PGV(NS)=   1.83,PGV(EW)=   1.43,Int= 4級,PGA(SUM)=  55.76,PGV(SUM)=   1.90
Stacode=ESL ,Staname=西林  ,Stalon=121.44,Stalat=23.81,Dist=  25.29,BAZ= 15.19,PGA(V)=  23.37,PGA(NS)=  80.35,PGA(EW)=  81.25,PGV(V)=   0.36,PGV(NS)=   0.91,PGV(EW)=   0.85,Int= 4級,PGA(SUM)=  28.45,PGV(SUM)=   0.97
Stacode=WHF ,Staname=合歡山,Stalon=121.27,Stalat=24.14,Dist=  26.80,BAZ=117.32,PGA(V)=  14.05,PGA(NS)=  16.61,PGA(EW)=  26.94,PGV(V)=   0.43,PGV(NS)=   0.73,PGV(EW)=   0.81,Int= 4級,PGA(SUM)=  25.88,PGV(SUM)=   0.93
Stacode=SHUL,Staname=水璉  ,Stalon=121.56,Stalat=23.79,Dist=  27.71,BAZ=348.12,PGA(V)=   2.78,PGA(NS)=   5.16,PGA(EW)=   4.51,PGV(V)=   0.11,PGV(NS)=   0.15,PGV(EW)=   0.14,Int= 2級,PGA(SUM)=   5.49,PGV(SUM)=   0.18
Stacode=OWD ,Staname=奧萬大,Stalon=121.18,Stalat=23.95,Dist=  34.75,BAZ= 75.64,PGA(V)=  27.26,PGA(NS)=  34.15,PGA(EW)=  36.39,PGV(V)=   0.62,PGV(NS)=   0.94,PGV(EW)=   0.94,Int= 4級,PGA(SUM)=  45.67,PGV(SUM)=   1.32
Stacode=FUSS,Staname=梨山  ,Stalon=121.24,Stalat=24.25,Dist=  35.81,BAZ=131.75,PGA(V)=  10.42,PGA(NS)=  25.35,PGA(EW)=  46.54,PGV(V)=   0.32,PGV(NS)=   0.96,PGV(EW)=   1.48,Int= 4級,PGA(SUM)=  48.26,PGV(SUM)=   1.71
Stacode=EGC ,Staname=磯崎  ,Stalon=121.55,Stalat=23.71,Dist=  36.18,BAZ=353.38,PGA(V)=   1.19,PGA(NS)=   8.69,PGA(EW)=  10.04,PGV(V)=   0.03,PGV(NS)=   0.28,PGV(EW)=   0.29,Int= 3級,PGA(SUM)=  10.12,PGV(SUM)=   0.34
Stacode=EHP ,Staname=和平  ,Stalon=121.75,Stalat=24.31,Dist=  39.33,BAZ=218.83,PGA(V)=   7.83,PGA(NS)=   9.44,PGA(EW)=  11.49,PGV(V)=   0.26,PGV(NS)=   0.26,PGV(EW)=   0.30,Int= 3級,PGA(SUM)=  10.64,PGV(SUM)=   0.40
Stacode=EAH ,Staname=澳花  ,Stalon=121.74,Stalat=24.33,Dist=  40.50,BAZ=215.70,PGA(V)=   5.48,PGA(NS)=   5.59,PGA(EW)=   4.60,PGV(V)=   0.16,PGV(NS)=   0.15,PGV(EW)=   0.16,Int= 2級,PGA(SUM)=   6.19,PGV(SUM)=   0.23
Stacode=EGFH,Staname=光復  ,Stalon=121.43,Stalat=23.67,Dist=  41.05,BAZ= 11.33,PGA(V)=  40.95,PGA(NS)=  23.77,PGA(EW)=  25.30,PGV(V)=   0.58,PGV(NS)=   0.60,PGV(EW)=   0.49,Int= 4級,PGA(SUM)=  25.10,PGV(SUM)=   0.68
Stacode=TWT ,Staname=德基  ,Stalon=121.16,Stalat=24.25,Dist=  42.51,BAZ=124.46,PGA(V)=   5.79,PGA(NS)=  12.33,PGA(EW)=   6.77,PGV(V)=   0.24,PGV(NS)=   0.43,PGV(EW)=   0.31,Int= 3級,PGA(SUM)=  13.10,PGV(SUM)=   0.50
Stacode=ENA ,Staname=南澳  ,Stalon=121.75,Stalat=24.43,Dist=  50.06,BAZ=209.45,PGA(V)=   2.84,PGA(NS)=  10.66,PGA(EW)=  10.73,PGV(V)=   0.06,PGV(NS)=   0.14,PGV(EW)=   0.16,Int= 2級,PGA(SUM)=   4.80,PGV(SUM)=   0.17
Stacode=EWT ,Staname=武塔  ,Stalon=121.78,Stalat=24.45,Dist=  53.39,BAZ=211.11,PGA(V)=   3.69,PGA(NS)=   4.84,PGA(EW)=   5.88,PGV(V)=   0.11,PGV(NS)=   0.12,PGV(EW)=   0.22,Int= 2級,PGA(SUM)=   5.01,PGV(SUM)=   0.24
Stacode=WPL ,Staname=埔里  ,Stalon=120.96,Stalat=24.01,Dist=  55.93,BAZ= 87.74,PGA(V)=   2.29,PGA(NS)=   2.13,PGA(EW)=   1.84,PGV(V)=   0.06,PGV(NS)=   0.06,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   2.50,PGV(SUM)=   0.11
Stacode=WCS ,Staname=國姓  ,Stalon=120.91,Stalat=24.06,Dist=  60.57,BAZ= 92.54,PGA(V)=   1.05,PGA(NS)=   2.16,PGA(EW)=   1.56,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   2.10,PGV(SUM)=   0.06
