Origin Time:2024/11/07 01:19:39
Lon:121.55¢XE
Lat:23.56¢XN
Depth:32.5km
Mag:5.5
Stacode=EGC ,Staname=ÁF±T  ,Stalon=121.55,Stalat=23.71,Dist=  15.89,BAZ=178.69,PGA(V)=  42.02,PGA(NS)=  47.35,PGA(EW)=  60.64,PGV(V)=   1.68,PGV(NS)=   0.86,PGV(EW)=   1.21,Int= 4¯Å,PGA(SUM)=  44.38,PGV(SUM)=   2.03
Stacode=EGFH,Staname=¥ú´_  ,Stalon=121.43,Stalat=23.67,Dist=  17.13,BAZ=132.54,PGA(V)=  32.65,PGA(NS)=  51.48,PGA(EW)=  65.09,PGV(V)=   0.77,PGV(NS)=   1.67,PGV(EW)=   1.70,Int= 4¯Å,PGA(SUM)=  77.39,PGV(SUM)=   2.39
Stacode=EHY ,Staname=¬õ¸­  ,Stalon=121.33,Stalat=23.50,Dist=  23.57,BAZ= 73.47,PGA(V)=  10.62,PGA(NS)=  18.80,PGA(EW)=  27.74,PGV(V)=   0.29,PGV(NS)=   0.61,PGV(EW)=   0.54,Int= 3¯Å,PGA(SUM)=  16.52,PGV(SUM)=   0.66
Stacode=SHUL,Staname=¤ôæ£  ,Stalon=121.56,Stalat=23.79,Dist=  24.74,BAZ=182.72,PGA(V)=   2.49,PGA(NS)=   3.49,PGA(EW)=   4.46,PGV(V)=   0.06,PGV(NS)=   0.16,PGV(EW)=   0.20,Int= 2¯Å,PGA(SUM)=   4.05,PGV(SUM)=   0.20
Stacode=ESL ,Staname=¦èªL  ,Stalon=121.44,Stalat=23.81,Dist=  29.62,BAZ=157.83,PGA(V)=   9.42,PGA(NS)=  29.78,PGA(EW)=  24.21,PGV(V)=   0.22,PGV(NS)=   0.54,PGV(EW)=   0.65,Int= 3¯Å,PGA(SUM)=  18.81,PGV(SUM)=   0.68
Stacode=EYL ,Staname=ÆQ¼d  ,Stalon=121.60,Stalat=23.90,Dist=  37.91,BAZ=187.81,PGA(V)=  13.05,PGA(NS)=  22.88,PGA(EW)=  23.90,PGV(V)=   0.54,PGV(NS)=   0.81,PGV(EW)=   1.40,Int= 3¯Å,PGA(SUM)=  23.37,PGV(SUM)=   1.50
Stacode=ETM ,Staname=»Éªù  ,Stalon=121.49,Stalat=23.97,Dist=  44.87,BAZ=172.38,PGA(V)=  10.71,PGA(NS)=  12.65,PGA(EW)=  15.32,PGV(V)=   0.24,PGV(NS)=   0.33,PGV(EW)=   0.55,Int= 3¯Å,PGA(SUM)=  13.88,PGV(SUM)=   0.64
Stacode=HWA ,Staname=ªá½¬¥«,Stalon=121.61,Stalat=23.98,Dist=  45.92,BAZ=187.95,PGA(V)=   4.16,PGA(NS)=  10.00,PGA(EW)=   9.98,PGV(V)=   0.19,PGV(NS)=   0.60,PGV(EW)=   0.60,Int= 3¯Å,PGA(SUM)=  10.26,PGV(SUM)=   0.62
Stacode=FULB,Staname=´I¨½  ,Stalon=121.29,Stalat=23.20,Dist=  48.27,BAZ= 33.01,PGA(V)=   6.50,PGA(NS)=  14.57,PGA(EW)=  26.48,PGV(V)=   0.34,PGV(NS)=   0.64,PGV(EW)=   1.23,Int= 4¯Å,PGA(SUM)=  26.55,PGV(SUM)=   1.26
Stacode=CHK ,Staname=¦¨¥\  ,Stalon=121.37,Stalat=23.10,Dist=  54.78,BAZ= 19.41,PGA(V)=  15.45,PGA(NS)=  37.59,PGA(EW)=  52.64,PGV(V)=   0.49,PGV(NS)=   1.54,PGV(EW)=   1.54,Int= 4¯Å,PGA(SUM)=  48.93,PGV(SUM)=   1.79
Stacode=TWD ,Staname=¨qªL  ,Stalon=121.60,Stalat=24.08,Dist=  57.50,BAZ=185.42,PGA(V)=   2.36,PGA(NS)=   2.86,PGA(EW)=   3.10,PGV(V)=   0.09,PGV(NS)=   0.09,PGV(EW)=   0.11,Int= 2¯Å,PGA(SUM)=   3.11,PGV(SUM)=   0.12
