Origin Time:2024/11/16 15:01:40
Lon:120.20¢XE
Lat:23.18¢XN
Depth:12.9km
Mag:4.8
Stacode=SCL ,Staname=¨Î¨½  ,Stalon=120.20,Stalat=23.17,Dist=   0.68,BAZ= 22.33,PGA(V)=  27.22,PGA(NS)=  70.04,PGA(EW)=  95.09,PGV(V)=   0.64,PGV(NS)=   3.12,PGV(EW)=   3.86,Int= 4¯Å,PGA(SUM)= 103.70,PGV(SUM)=   4.67
Stacode=SSH ,Staname=µ½¤Æ  ,Stalon=120.29,Stalat=23.14,Dist=   9.87,BAZ=299.52,PGA(V)=  14.77,PGA(NS)=  15.59,PGA(EW)=  22.55,PGV(V)=   0.24,PGV(NS)=   0.62,PGV(EW)=   0.81,Int= 3¯Å,PGA(SUM)=  19.73,PGV(SUM)=   0.82
Stacode=TAI1,Staname=¥Ã±d  ,Stalon=120.24,Stalat=23.04,Dist=  16.07,BAZ=348.13,PGA(V)=  11.44,PGA(NS)=  10.46,PGA(EW)=   6.95,PGV(V)=   0.16,PGV(NS)=   0.55,PGV(EW)=   0.38,Int= 3¯Å,PGA(SUM)=  11.05,PGV(SUM)=   0.64
Stacode=CHN8,Staname=¸q¦Ë  ,Stalon=120.22,Stalat=23.35,Dist=  18.62,BAZ=185.79,PGA(V)=   8.17,PGA(NS)=   9.32,PGA(EW)=  10.60,PGV(V)=   0.11,PGV(NS)=   0.37,PGV(EW)=   0.43,Int= 3¯Å,PGA(SUM)=  10.95,PGV(SUM)=   0.43
Stacode=SHH ,Staname=·s¤Æ  ,Stalon=120.35,Stalat=23.02,Dist=  22.92,BAZ=320.08,PGA(V)=   6.51,PGA(NS)=  12.93,PGA(EW)=  15.95,PGV(V)=   0.24,PGV(NS)=   0.51,PGV(EW)=   0.58,Int= 3¯Å,PGA(SUM)=  16.42,PGV(SUM)=   0.60
Stacode=C015,Staname=¥Õªe  ,Stalon=120.41,Stalat=23.35,Dist=  28.76,BAZ=228.35,PGA(V)=   8.71,PGA(NS)=  11.06,PGA(EW)=  18.81,PGV(V)=   0.20,PGV(NS)=   0.45,PGV(EW)=   0.54,Int= 3¯Å,PGA(SUM)=  16.65,PGV(SUM)=   0.56
Stacode=CHY1,Staname=¤Ó«O¥«,Stalon=120.29,Stalat=23.46,Dist=  32.01,BAZ=196.63,PGA(V)=   7.15,PGA(NS)=  19.83,PGA(EW)=  20.04,PGV(V)=   0.11,PGV(NS)=   0.45,PGV(EW)=   0.35,Int= 3¯Å,PGA(SUM)=  16.66,PGV(SUM)=   0.47
Stacode=CHN1,Staname=·£¦è  ,Stalon=120.53,Stalat=23.18,Dist=  33.20,BAZ=269.06,PGA(V)=   1.26,PGA(NS)=   2.39,PGA(EW)=   1.68,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   2.47,PGV(SUM)=   0.08
Stacode=WSL ,Staname=¤ôªL  ,Stalon=120.23,Stalat=23.52,Dist=  38.02,BAZ=183.62,PGA(V)=   3.12,PGA(NS)=   4.44,PGA(EW)=   3.81,PGV(V)=   0.06,PGV(NS)=   0.18,PGV(EW)=   0.10,Int= 2¯Å,PGA(SUM)=   4.21,PGV(SUM)=   0.20
Stacode=SGS ,Staname=¥Ò¥P  ,Stalon=120.59,Stalat=23.08,Dist=  41.09,BAZ=285.57,PGA(V)=   1.09,PGA(NS)=   1.23,PGA(EW)=   1.27,PGV(V)=   0.05,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.27,PGV(SUM)=   0.07
Stacode=CHY ,Staname=¹Å¸q¥«,Stalon=120.43,Stalat=23.50,Dist=  42.09,BAZ=213.67,PGA(V)=   2.75,PGA(NS)=   7.75,PGA(EW)=   9.12,PGV(V)=   0.07,PGV(NS)=   0.26,PGV(EW)=   0.25,Int= 3¯Å,PGA(SUM)=   9.56,PGV(SUM)=   0.27
