Origin Time:2024/11/19 12:27:46
Lon:120.22¢XE
Lat:23.21¢XN
Depth:11.0km
Mag:4.1
Stacode=SCL ,Staname=¨Î¨½  ,Stalon=120.20,Stalat=23.17,Dist=   4.45,BAZ= 21.64,PGA(V)=  12.10,PGA(NS)=  31.07,PGA(EW)=  30.21,PGV(V)=   0.20,PGV(NS)=   0.43,PGV(EW)=   0.82,Int= 3¯Å,PGA(SUM)=  16.96,PGV(SUM)=   0.89
Stacode=SSH ,Staname=µ½¤Æ  ,Stalon=120.29,Stalat=23.14,Dist=  11.04,BAZ=319.28,PGA(V)=   4.10,PGA(NS)=   7.28,PGA(EW)=   3.82,PGV(V)=   0.05,PGV(NS)=   0.18,PGV(EW)=   0.11,Int= 2¯Å,PGA(SUM)=   3.46,PGV(SUM)=   0.18
Stacode=CHN8,Staname=¸q¦Ë  ,Stalon=120.22,Stalat=23.35,Dist=  15.03,BAZ=181.90,PGA(V)=   5.46,PGA(NS)=   4.14,PGA(EW)=   5.52,PGV(V)=   0.05,PGV(NS)=   0.07,PGV(EW)=   0.09,Int= 2¯Å,PGA(SUM)=   3.42,PGV(SUM)=   0.11
Stacode=TAI1,Staname=¥Ã±d  ,Stalon=120.24,Stalat=23.04,Dist=  19.33,BAZ=354.29,PGA(V)=  11.22,PGA(NS)=   2.69,PGA(EW)=   2.26,PGV(V)=   0.11,PGV(NS)=   0.08,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   2.32,PGV(SUM)=   0.11
Stacode=SHH ,Staname=·s¤Æ  ,Stalon=120.35,Stalat=23.02,Dist=  24.94,BAZ=327.71,PGA(V)=   1.30,PGA(NS)=   2.82,PGA(EW)=   3.27,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.10,Int= 2¯Å,PGA(SUM)=   2.86,PGV(SUM)=   0.11
Stacode=C015,Staname=¥Õªe  ,Stalon=120.41,Stalat=23.35,Dist=  25.45,BAZ=232.18,PGA(V)=   3.33,PGA(NS)=   3.88,PGA(EW)=   6.00,PGV(V)=   0.07,PGV(NS)=   0.11,PGV(EW)=   0.22,Int= 2¯Å,PGA(SUM)=   4.37,PGV(SUM)=   0.23
Stacode=CHY1,Staname=¤Ó«O¥«,Stalon=120.29,Stalat=23.46,Dist=  28.26,BAZ=195.97,PGA(V)=   2.09,PGA(NS)=   5.20,PGA(EW)=   5.76,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.12,Int= 2¯Å,PGA(SUM)=   5.22,PGV(SUM)=   0.14
Stacode=WSL ,Staname=¤ôªL  ,Stalon=120.23,Stalat=23.52,Dist=  34.45,BAZ=181.69,PGA(V)=   1.28,PGA(NS)=   2.09,PGA(EW)=   1.84,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.61,PGV(SUM)=   0.05
Stacode=CHY ,Staname=¹Å¸q¥«,Stalon=120.43,Stalat=23.50,Dist=  38.41,BAZ=214.85,PGA(V)=   0.59,PGA(NS)=   1.20,PGA(EW)=   1.64,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.72,PGV(SUM)=   0.08
Stacode=CHN2,Staname=¥Á¶¯  ,Stalon=120.47,Stalat=23.53,Dist=  44.11,BAZ=216.48,PGA(V)=   1.29,PGA(NS)=   2.28,PGA(EW)=   1.83,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.10,PGV(SUM)=   0.06
Stacode=WCKO,Staname=µf¸ô  ,Stalon=120.60,Stalat=23.44,Dist=  46.87,BAZ=237.57,PGA(V)=   0.55,PGA(NS)=   1.16,PGA(EW)=   0.91,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   0.83,PGV(SUM)=   0.04
