Origin Time:2024/11/20 12:23:22
Lon:120.23¢XE
Lat:23.35¢XN
Depth:12.1km
Mag:4.5
Stacode=CHN8,Staname=¸q¦Ë  ,Stalon=120.22,Stalat=23.35,Dist=   0.84,BAZ= 65.08,PGA(V)=  52.52,PGA(NS)=  54.13,PGA(EW)=  69.51,PGV(V)=   0.90,PGV(NS)=   1.40,PGV(EW)=   2.30,Int= 4¯Å,PGA(SUM)=  72.61,PGV(SUM)=   2.30
Stacode=CHY1,Staname=¤Ó«O¥«,Stalon=120.29,Stalat=23.46,Dist=  13.47,BAZ=208.91,PGA(V)=  10.74,PGA(NS)=  40.83,PGA(EW)=  30.05,PGV(V)=   0.31,PGV(NS)=   0.90,PGV(EW)=   1.03,Int= 4¯Å,PGA(SUM)=  31.81,PGV(SUM)=   1.13
Stacode=C015,Staname=¥Õªe  ,Stalon=120.41,Stalat=23.35,Dist=  18.84,BAZ=269.29,PGA(V)=  10.02,PGA(NS)=  11.56,PGA(EW)=  10.34,PGV(V)=   0.18,PGV(NS)=   0.28,PGV(EW)=   0.40,Int= 3¯Å,PGA(SUM)=   9.20,PGV(SUM)=   0.41
Stacode=WSL ,Staname=¤ôªL  ,Stalon=120.23,Stalat=23.52,Dist=  19.06,BAZ=179.27,PGA(V)=   4.17,PGA(NS)=   5.48,PGA(EW)=   8.28,PGV(V)=   0.08,PGV(NS)=   0.21,PGV(EW)=   0.26,Int= 3¯Å,PGA(SUM)=   8.05,PGV(SUM)=   0.32
Stacode=SCL ,Staname=¨Î¨½  ,Stalon=120.20,Stalat=23.17,Dist=  19.73,BAZ=  8.46,PGA(V)=   3.93,PGA(NS)=   5.34,PGA(EW)=  10.25,PGV(V)=   0.08,PGV(NS)=   0.12,PGV(EW)=   0.24,Int= 3¯Å,PGA(SUM)=  10.22,PGV(SUM)=   0.27
Stacode=SSH ,Staname=µ½¤Æ  ,Stalon=120.29,Stalat=23.14,Dist=  24.47,BAZ=345.96,PGA(V)=   3.92,PGA(NS)=   6.40,PGA(EW)=   5.18,PGV(V)=   0.08,PGV(NS)=   0.26,PGV(EW)=   0.17,Int= 2¯Å,PGA(SUM)=   6.09,PGV(SUM)=   0.28
Stacode=CHY ,Staname=¹Å¸q¥«,Stalon=120.43,Stalat=23.50,Dist=  26.23,BAZ=232.01,PGA(V)=   1.87,PGA(NS)=   3.36,PGA(EW)=   5.65,PGV(V)=   0.05,PGV(NS)=   0.16,PGV(EW)=   0.19,Int= 2¯Å,PGA(SUM)=   5.95,PGV(SUM)=   0.25
Stacode=WSF ,Staname=¥|´ò  ,Stalon=120.23,Stalat=23.64,Dist=  31.65,BAZ=179.93,PGA(V)=   2.54,PGA(NS)=   3.74,PGA(EW)=   7.44,PGV(V)=   0.06,PGV(NS)=   0.11,PGV(EW)=   0.24,Int= 2¯Å,PGA(SUM)=   7.93,PGV(SUM)=   0.25
Stacode=CHN2,Staname=¥Á¶¯  ,Stalon=120.47,Stalat=23.53,Dist=  32.04,BAZ=231.16,PGA(V)=   3.27,PGA(NS)=   8.21,PGA(EW)=   4.48,PGV(V)=   0.10,PGV(NS)=   0.26,PGV(EW)=   0.14,Int= 2¯Å,PGA(SUM)=   7.53,PGV(SUM)=   0.26
Stacode=TAI1,Staname=¥Ã±d  ,Stalon=120.24,Stalat=23.04,Dist=  34.61,BAZ=358.91,PGA(V)=   1.48,PGA(NS)=   2.55,PGA(EW)=   3.10,PGV(V)=   0.04,PGV(NS)=   0.12,PGV(EW)=   0.12,Int= 2¯Å,PGA(SUM)=   3.11,PGV(SUM)=   0.13
Stacode=CHN1,Staname=·£¦è  ,Stalon=120.53,Stalat=23.18,Dist=  35.62,BAZ=300.99,PGA(V)=   1.45,PGA(NS)=   2.13,PGA(EW)=   1.79,PGV(V)=   0.05,PGV(NS)=   0.09,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   2.28,PGV(SUM)=   0.09
Stacode=SHH ,Staname=·s¤Æ  ,Stalon=120.35,Stalat=23.02,Dist=  38.40,BAZ=341.71,PGA(V)=   1.64,PGA(NS)=   2.88,PGA(EW)=   3.40,PGV(V)=   0.05,PGV(NS)=   0.12,PGV(EW)=   0.12,Int= 2¯Å,PGA(SUM)=   3.44,PGV(SUM)=   0.13
Stacode=WCKO,Staname=µf¸ô  ,Stalon=120.60,Stalat=23.44,Dist=  39.50,BAZ=255.70,PGA(V)=   2.19,PGA(NS)=   7.74,PGA(EW)=   6.00,PGV(V)=   0.06,PGV(NS)=   0.23,PGV(EW)=   0.24,Int= 2¯Å,PGA(SUM)=   7.40,PGV(SUM)=   0.25
Stacode=WTK ,Staname=¤g®w  ,Stalon=120.39,Stalat=23.69,Dist=  40.69,BAZ=203.43,PGA(V)=   1.77,PGA(NS)=   3.71,PGA(EW)=   7.46,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.18,Int= 2¯Å,PGA(SUM)=   6.41,PGV(SUM)=   0.19
Stacode=WTP ,Staname=¤j®H  ,Stalon=120.62,Stalat=23.24,Dist=  41.81,BAZ=286.42,PGA(V)=   0.88,PGA(NS)=   3.44,PGA(EW)=   3.70,PGV(V)=   0.03,PGV(NS)=   0.13,PGV(EW)=   0.14,Int= 2¯Å,PGA(SUM)=   3.54,PGV(SUM)=   0.16
Stacode=SGS ,Staname=¥Ò¥P  ,Stalon=120.59,Stalat=23.08,Dist=  47.51,BAZ=309.02,PGA(V)=   0.82,PGA(NS)=   1.26,PGA(EW)=   2.08,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.10,Int= 1¯Å,PGA(SUM)=   2.06,PGV(SUM)=   0.10
Stacode=WML ,Staname=³Á¼d  ,Stalon=120.22,Stalat=23.80,Dist=  50.27,BAZ=179.19,PGA(V)=   2.00,PGA(NS)=   2.04,PGA(EW)=   2.70,PGV(V)=   0.04,PGV(NS)=   0.04,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   2.23,PGV(SUM)=   0.07
Stacode=WGK ,Staname=¥j§|  ,Stalon=120.57,Stalat=23.68,Dist=  50.73,BAZ=223.21,PGA(V)=   0.96,PGA(NS)=   1.63,PGA(EW)=   2.34,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   2.18,PGV(SUM)=   0.09
