Origin Time:2024/11/22 22:23:00
Lon:120.22°E
Lat:23.20°N
Depth:11.8km
Mag:4.5
Stacode=SCL ,Staname=佳里  ,Stalon=120.20,Stalat=23.17,Dist=   3.15,BAZ= 27.52,PGA(V)=  34.31,PGA(NS)=  65.58,PGA(EW)=  56.03,PGV(V)=   0.74,PGV(NS)=   1.85,PGV(EW)=   2.29,Int= 4級,PGA(SUM)=  77.25,PGV(SUM)=   2.37
Stacode=CHN8,Staname=義竹  ,Stalon=120.22,Stalat=23.35,Dist=  16.38,BAZ=182.40,PGA(V)=  10.41,PGA(NS)=  13.20,PGA(EW)=  12.04,PGV(V)=   0.18,PGV(NS)=   0.50,PGV(EW)=   0.41,Int= 3級,PGA(SUM)=  13.55,PGV(SUM)=   0.53
Stacode=TAI1,Staname=永康  ,Stalon=120.24,Stalat=23.04,Dist=  18.01,BAZ=353.27,PGA(V)=  12.50,PGA(NS)=   7.53,PGA(EW)=  10.62,PGV(V)=   0.21,PGV(NS)=   0.25,PGV(EW)=   0.37,Int= 3級,PGA(SUM)=  11.41,PGV(SUM)=   0.37
Stacode=TAI ,Staname=臺南市,Stalon=120.20,Stalat=22.99,Dist=  22.88,BAZ=  2.90,PGA(V)=   3.49,PGA(NS)=   3.16,PGA(EW)=   1.76,PGV(V)=   0.08,PGV(NS)=   0.19,PGV(EW)=   0.09,Int= 2級,PGA(SUM)=   2.95,PGV(SUM)=   0.21
Stacode=SHH ,Staname=新化  ,Stalon=120.35,Stalat=23.02,Dist=  23.92,BAZ=325.61,PGA(V)=   3.09,PGA(NS)=   4.43,PGA(EW)=   5.21,PGV(V)=   0.10,PGV(NS)=   0.22,PGV(EW)=   0.20,Int= 2級,PGA(SUM)=   5.70,PGV(SUM)=   0.24
Stacode=C015,Staname=白河  ,Stalon=120.41,Stalat=23.35,Dist=  26.45,BAZ=230.12,PGA(V)=   4.35,PGA(NS)=   9.78,PGA(EW)=  10.33,PGV(V)=   0.13,PGV(NS)=   0.32,PGV(EW)=   0.37,Int= 3級,PGA(SUM)=   9.81,PGV(SUM)=   0.38
Stacode=CHY1,Staname=太保市,Stalon=120.29,Stalat=23.46,Dist=  29.61,BAZ=195.61,PGA(V)=   4.42,PGA(NS)=   4.50,PGA(EW)=   7.42,PGV(V)=   0.11,PGV(NS)=   0.15,PGV(EW)=   0.17,Int= 2級,PGA(SUM)=   7.09,PGV(SUM)=   0.18
Stacode=CHN1,Staname=楠西  ,Stalon=120.53,Stalat=23.18,Dist=  32.04,BAZ=272.89,PGA(V)=   1.04,PGA(NS)=   1.55,PGA(EW)=   1.11,PGV(V)=   0.03,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.63,PGV(SUM)=   0.05
Stacode=WSL ,Staname=水林  ,Stalon=120.23,Stalat=23.52,Dist=  35.80,BAZ=181.93,PGA(V)=   1.40,PGA(NS)=   3.31,PGA(EW)=   2.72,PGV(V)=   0.03,PGV(NS)=   0.16,PGV(EW)=   0.07,Int= 2級,PGA(SUM)=   2.55,PGV(SUM)=   0.16
Stacode=CHY ,Staname=嘉義市,Stalon=120.43,Stalat=23.50,Dist=  39.63,BAZ=213.96,PGA(V)=   1.32,PGA(NS)=   3.35,PGA(EW)=   4.30,PGV(V)=   0.04,PGV(NS)=   0.11,PGV(EW)=   0.13,Int= 2級,PGA(SUM)=   4.64,PGV(SUM)=   0.14
Stacode=WTP ,Staname=大埔  ,Stalon=120.62,Stalat=23.24,Dist=  41.87,BAZ=263.27,PGA(V)=   0.47,PGA(NS)=   1.87,PGA(EW)=   1.65,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.39,PGV(SUM)=   0.05
