Origin Time:2024/12/12 04:05:49
Lon:121.75¢XE
Lat:23.96¢XN
Depth:26.1km
Mag:4.7
Stacode=HWA ,Staname=ªá½¬¥«,Stalon=121.61,Stalat=23.98,Dist=  13.56,BAZ= 99.17,PGA(V)=   2.74,PGA(NS)=  10.01,PGA(EW)=   7.73,PGV(V)=   0.10,PGV(NS)=   0.44,PGV(EW)=   0.37,Int= 3¯Å,PGA(SUM)=  10.21,PGV(SUM)=   0.45
Stacode=EYL ,Staname=ÆQ¼d  ,Stalon=121.60,Stalat=23.90,Dist=  15.68,BAZ= 68.46,PGA(V)=   7.33,PGA(NS)=  16.37,PGA(EW)=  19.89,PGV(V)=   0.27,PGV(NS)=   0.61,PGV(EW)=   0.80,Int= 3¯Å,PGA(SUM)=  23.35,PGV(SUM)=   1.02
Stacode=TWD ,Staname=¨qªL  ,Stalon=121.60,Stalat=24.08,Dist=  19.95,BAZ=134.25,PGA(V)=   6.47,PGA(NS)=  10.54,PGA(EW)=   9.27,PGV(V)=   0.16,PGV(NS)=   0.29,PGV(EW)=   0.31,Int= 3¯Å,PGA(SUM)=  11.93,PGV(SUM)=   0.42
Stacode=ETM ,Staname=»Éªù  ,Stalon=121.49,Stalat=23.97,Dist=  25.69,BAZ= 92.57,PGA(V)=   3.34,PGA(NS)=   5.77,PGA(EW)=   6.19,PGV(V)=   0.10,PGV(NS)=   0.23,PGV(EW)=   0.22,Int= 2¯Å,PGA(SUM)=   6.86,PGV(SUM)=   0.29
Stacode=ETL ,Staname=¤Ó¾|»Õ,Stalon=121.62,Stalat=24.16,Dist=  25.70,BAZ=151.11,PGA(V)=   3.65,PGA(NS)=  10.43,PGA(EW)=   9.46,PGV(V)=   0.06,PGV(NS)=   0.23,PGV(EW)=   0.16,Int= 3¯Å,PGA(SUM)=   8.84,PGV(SUM)=   0.27
Stacode=SHUL,Staname=¤ôæ£  ,Stalon=121.56,Stalat=23.79,Dist=  26.28,BAZ= 44.94,PGA(V)=   0.62,PGA(NS)=   1.35,PGA(EW)=   1.76,PGV(V)=   0.03,PGV(NS)=   0.10,PGV(EW)=   0.10,Int= 1¯Å,PGA(SUM)=   1.87,PGV(SUM)=   0.12
Stacode=EGC ,Staname=ÁF±T  ,Stalon=121.55,Stalat=23.71,Dist=  34.01,BAZ= 36.24,PGA(V)=   1.38,PGA(NS)=   2.99,PGA(EW)=   3.46,PGV(V)=   0.04,PGV(NS)=   0.14,PGV(EW)=   0.08,Int= 2¯Å,PGA(SUM)=   3.34,PGV(SUM)=   0.15
Stacode=ESL ,Staname=¦èªL  ,Stalon=121.44,Stalat=23.81,Dist=  34.74,BAZ= 62.78,PGA(V)=   1.20,PGA(NS)=   2.96,PGA(EW)=   1.99,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.70,PGV(SUM)=   0.10
Stacode=ETLH,Staname=¦èÄ_  ,Stalon=121.48,Stalat=24.21,Dist=  38.62,BAZ=136.11,PGA(V)=   7.06,PGA(NS)=   8.12,PGA(EW)=   6.39,PGV(V)=   0.22,PGV(NS)=   0.30,PGV(EW)=   0.21,Int= 3¯Å,PGA(SUM)=   9.25,PGV(SUM)=   0.32
Stacode=EHP ,Staname=©M¥­  ,Stalon=121.75,Stalat=24.31,Dist=  39.16,BAZ=180.65,PGA(V)=   3.92,PGA(NS)=   4.10,PGA(EW)=   4.74,PGV(V)=   0.11,PGV(NS)=   0.19,PGV(EW)=   0.16,Int= 2¯Å,PGA(SUM)=   5.07,PGV(SUM)=   0.22
Stacode=EAH ,Staname=¿Dªá  ,Stalon=121.74,Stalat=24.33,Dist=  41.40,BAZ=179.20,PGA(V)=   2.33,PGA(NS)=   3.46,PGA(EW)=   3.30,PGV(V)=   0.08,PGV(NS)=   0.11,PGV(EW)=   0.13,Int= 2¯Å,PGA(SUM)=   3.98,PGV(SUM)=   0.15
