Origin Time:2024/12/13 12:26:55
Lon:121.70°E
Lat:23.91°N
Depth:25.9km
Mag:4.3
Stacode=EYL ,Staname=鹽寮  ,Stalon=121.60,Stalat=23.90,Dist=   9.56,BAZ= 85.68,PGA(V)=   3.97,PGA(NS)=   9.40,PGA(EW)=  13.68,PGV(V)=   0.14,PGV(NS)=   0.27,PGV(EW)=   0.40,Int= 3級,PGA(SUM)=  13.31,PGV(SUM)=   0.42
Stacode=HWA ,Staname=花蓮市,Stalon=121.61,Stalat=23.98,Dist=  11.01,BAZ=130.84,PGA(V)=   2.88,PGA(NS)=   9.38,PGA(EW)=   7.76,PGV(V)=   0.07,PGV(NS)=   0.27,PGV(EW)=   0.27,Int= 3級,PGA(SUM)=   9.45,PGV(SUM)=   0.31
Stacode=SHUL,Staname=水璉  ,Stalon=121.56,Stalat=23.79,Dist=  19.15,BAZ= 44.88,PGA(V)=   0.85,PGA(NS)=   0.89,PGA(EW)=   1.99,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.82,PGV(SUM)=   0.07
Stacode=TWD ,Staname=秀林  ,Stalon=121.60,Stalat=24.08,Dist=  21.09,BAZ=154.01,PGA(V)=   2.17,PGA(NS)=   1.97,PGA(EW)=   2.25,PGV(V)=   0.03,PGV(NS)=   0.04,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.90,PGV(SUM)=   0.05
Stacode=ETM ,Staname=銅門  ,Stalon=121.49,Stalat=23.97,Dist=  21.53,BAZ=106.72,PGA(V)=   4.97,PGA(NS)=   7.99,PGA(EW)=   5.63,PGV(V)=   0.10,PGV(NS)=   0.14,PGV(EW)=   0.15,Int= 2級,PGA(SUM)=   5.40,PGV(SUM)=   0.20
Stacode=EGC ,Staname=磯崎  ,Stalon=121.55,Stalat=23.71,Dist=  26.98,BAZ= 33.91,PGA(V)=   1.57,PGA(NS)=   5.59,PGA(EW)=   5.27,PGV(V)=   0.04,PGV(NS)=   0.20,PGV(EW)=   0.16,Int= 2級,PGA(SUM)=   5.62,PGV(SUM)=   0.24
Stacode=ESL ,Staname=西林  ,Stalon=121.44,Stalat=23.81,Dist=  28.03,BAZ= 67.22,PGA(V)=   2.08,PGA(NS)=   4.36,PGA(EW)=   4.48,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.59,PGV(SUM)=   0.06
Stacode=ETL ,Staname=太魯閣,Stalon=121.62,Stalat=24.16,Dist=  28.51,BAZ=165.03,PGA(V)=   1.86,PGA(NS)=  10.93,PGA(EW)=   9.40,PGV(V)=   0.05,PGV(NS)=   0.23,PGV(EW)=   0.20,Int= 3級,PGA(SUM)=   8.68,PGV(SUM)=   0.26
Stacode=EGFH,Staname=光復  ,Stalon=121.43,Stalat=23.67,Dist=  38.18,BAZ= 45.63,PGA(V)=   1.64,PGA(NS)=   2.24,PGA(EW)=   1.90,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   2.01,PGV(SUM)=   0.06
Stacode=ETLH,Staname=西寶  ,Stalon=121.48,Stalat=24.21,Dist=  39.40,BAZ=146.54,PGA(V)=   4.66,PGA(NS)=   6.20,PGA(EW)=   5.36,PGV(V)=   0.12,PGV(NS)=   0.18,PGV(EW)=   0.15,Int= 2級,PGA(SUM)=   5.80,PGV(SUM)=   0.20
Stacode=EHP ,Staname=和平  ,Stalon=121.75,Stalat=24.31,Dist=  44.53,BAZ=187.09,PGA(V)=   1.63,PGA(NS)=   2.10,PGA(EW)=   2.46,PGV(V)=   0.05,PGV(NS)=   0.07,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   2.30,PGV(SUM)=   0.09
