Origin Time:2025/01/12 04:27:09
Lon:121.46°E
Lat:23.80°N
Depth:11.3km
Mag:5.0
Stacode=ESL ,Staname=西林  ,Stalon=121.44,Stalat=23.81,Dist=   2.65,BAZ=127.78,PGA(V)=  42.67,PGA(NS)= 179.69,PGA(EW)= 169.25,PGV(V)=   0.48,PGV(NS)=   2.54,PGV(EW)=   2.10,Int= 4級,PGA(SUM)=  70.60,PGV(SUM)=   2.93
Stacode=SHUL,Staname=水璉  ,Stalon=121.56,Stalat=23.79,Dist=  10.30,BAZ=276.07,PGA(V)=   3.27,PGA(NS)=   6.48,PGA(EW)=   7.70,PGV(V)=   0.11,PGV(NS)=   0.24,PGV(EW)=   0.38,Int= 3級,PGA(SUM)=   8.25,PGV(SUM)=   0.39
Stacode=EGC ,Staname=磯崎  ,Stalon=121.55,Stalat=23.71,Dist=  13.20,BAZ=318.71,PGA(V)=  16.57,PGA(NS)=  41.63,PGA(EW)=  28.47,PGV(V)=   0.53,PGV(NS)=   0.93,PGV(EW)=   0.85,Int= 4級,PGA(SUM)=  34.95,PGV(SUM)=   1.07
Stacode=EGFH,Staname=光復  ,Stalon=121.43,Stalat=23.67,Dist=  14.66,BAZ= 13.95,PGA(V)=  43.69,PGA(NS)=  34.58,PGA(EW)=  57.76,PGV(V)=   0.54,PGV(NS)=   0.93,PGV(EW)=   1.49,Int= 4級,PGA(SUM)=  49.21,PGV(SUM)=   1.51
Stacode=EYL ,Staname=鹽寮  ,Stalon=121.60,Stalat=23.90,Dist=  18.45,BAZ=230.40,PGA(V)=   4.78,PGA(NS)=   9.59,PGA(EW)=  10.96,PGV(V)=   0.18,PGV(NS)=   0.48,PGV(EW)=   0.37,Int= 3級,PGA(SUM)=  10.57,PGV(SUM)=   0.49
Stacode=ETM ,Staname=銅門  ,Stalon=121.49,Stalat=23.97,Dist=  18.93,BAZ=189.49,PGA(V)=  12.40,PGA(NS)=  17.28,PGA(EW)=  24.21,PGV(V)=   0.29,PGV(NS)=   0.43,PGV(EW)=   0.75,Int= 3級,PGA(SUM)=  16.62,PGV(SUM)=   0.79
Stacode=HWA ,Staname=花蓮市,Stalon=121.61,Stalat=23.98,Dist=  24.99,BAZ=218.07,PGA(V)=   3.17,PGA(NS)=   9.88,PGA(EW)=  11.94,PGV(V)=   0.17,PGV(NS)=   0.53,PGV(EW)=   0.43,Int= 3級,PGA(SUM)=  11.82,PGV(SUM)=   0.57
Stacode=OWD ,Staname=奧萬大,Stalon=121.18,Stalat=23.95,Dist=  33.96,BAZ=120.83,PGA(V)=   5.90,PGA(NS)=  10.33,PGA(EW)=   9.50,PGV(V)=   0.13,PGV(NS)=   0.28,PGV(EW)=   0.25,Int= 3級,PGA(SUM)=   9.34,PGV(SUM)=   0.34
Stacode=TWD ,Staname=秀林  ,Stalon=121.60,Stalat=24.08,Dist=  34.62,BAZ=204.74,PGA(V)=   1.72,PGA(NS)=   2.67,PGA(EW)=   2.76,PGV(V)=   0.06,PGV(NS)=   0.06,PGV(EW)=   0.07,Int= 2級,PGA(SUM)=   2.62,PGV(SUM)=   0.08
Stacode=EHY ,Staname=紅葉  ,Stalon=121.33,Stalat=23.50,Dist=  35.20,BAZ= 22.54,PGA(V)=   4.88,PGA(NS)=  11.31,PGA(EW)=   8.70,PGV(V)=   0.11,PGV(NS)=   0.31,PGV(EW)=   0.27,Int= 3級,PGA(SUM)=   9.47,PGV(SUM)=   0.33
Stacode=WHF ,Staname=合歡山,Stalon=121.27,Stalat=24.14,Dist=  42.91,BAZ=153.27,PGA(V)=   3.18,PGA(NS)=   5.43,PGA(EW)=   6.61,PGV(V)=   0.09,PGV(NS)=   0.15,PGV(EW)=   0.21,Int= 2級,PGA(SUM)=   6.22,PGV(SUM)=   0.21
Stacode=ETL ,Staname=太魯閣,Stalon=121.62,Stalat=24.16,Dist=  43.24,BAZ=202.23,PGA(V)=   1.52,PGA(NS)=   8.08,PGA(EW)=   5.51,PGV(V)=   0.03,PGV(NS)=   0.17,PGV(EW)=   0.09,Int= 2級,PGA(SUM)=   6.27,PGV(SUM)=   0.18
Stacode=ETLH,Staname=西寶  ,Stalon=121.48,Stalat=24.21,Dist=  45.39,BAZ=182.51,PGA(V)=   4.01,PGA(NS)=   5.33,PGA(EW)=   4.77,PGV(V)=   0.10,PGV(NS)=   0.16,PGV(EW)=   0.13,Int= 2級,PGA(SUM)=   5.50,PGV(SUM)=   0.17
Stacode=EYUL,Staname=玉里  ,Stalon=121.32,Stalat=23.35,Dist=  51.95,BAZ= 16.33,PGA(V)=   1.30,PGA(NS)=   2.18,PGA(EW)=   2.29,PGV(V)=   0.06,PGV(NS)=   0.12,PGV(EW)=   0.12,Int= 1級,PGA(SUM)=   2.49,PGV(SUM)=   0.14
Stacode=ECB ,Staname=長濱  ,Stalon=121.45,Stalat=23.32,Dist=  53.27,BAZ=  1.20,PGA(V)=   1.20,PGA(NS)=   2.04,PGA(EW)=   1.04,PGV(V)=   0.08,PGV(NS)=   0.13,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.99,PGV(SUM)=   0.13
Stacode=FUSS,Staname=梨山  ,Stalon=121.24,Stalat=24.25,Dist=  54.59,BAZ=155.99,PGA(V)=   1.10,PGA(NS)=   2.65,PGA(EW)=   3.17,PGV(V)=   0.04,PGV(NS)=   0.10,PGV(EW)=   0.10,Int= 2級,PGA(SUM)=   3.78,PGV(SUM)=   0.12
Stacode=SML ,Staname=日月潭,Stalon=120.91,Stalat=23.88,Dist=  57.19,BAZ= 99.36,PGA(V)=   0.75,PGA(NS)=   2.04,PGA(EW)=   2.77,PGV(V)=   0.05,PGV(NS)=   0.21,PGV(EW)=   0.25,Int= 2級,PGA(SUM)=   2.81,PGV(SUM)=   0.26
Stacode=TWT ,Staname=德基  ,Stalon=121.16,Stalat=24.25,Dist=  58.66,BAZ=148.61,PGA(V)=   0.82,PGA(NS)=   1.55,PGA(EW)=   1.42,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.59,PGV(SUM)=   0.07
Stacode=YUS ,Staname=玉山  ,Stalon=120.96,Stalat=23.49,Dist=  61.72,BAZ= 56.20,PGA(V)=   1.47,PGA(NS)=   4.51,PGA(EW)=   4.47,PGV(V)=   0.05,PGV(NS)=   0.20,PGV(EW)=   0.19,Int= 2級,PGA(SUM)=   5.07,PGV(SUM)=   0.21
Stacode=WHY ,Staname=信義鄉,Stalon=120.85,Stalat=23.70,Dist=  63.08,BAZ= 79.76,PGA(V)=   1.29,PGA(NS)=   2.36,PGA(EW)=   2.64,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.11,Int= 2級,PGA(SUM)=   2.81,PGV(SUM)=   0.12
Stacode=EHP ,Staname=和平  ,Stalon=121.75,Stalat=24.31,Dist=  63.76,BAZ=207.27,PGA(V)=   1.96,PGA(NS)=   1.21,PGA(EW)=   1.55,PGV(V)=   0.05,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.47,PGV(SUM)=   0.07
Stacode=EAH ,Staname=澳花  ,Stalon=121.74,Stalat=24.33,Dist=  65.31,BAZ=205.56,PGA(V)=   0.97,PGA(NS)=   1.07,PGA(EW)=   1.15,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.25,PGV(SUM)=   0.07
Stacode=FULB,Staname=富里  ,Stalon=121.29,Stalat=23.20,Dist=  68.48,BAZ= 14.53,PGA(V)=   0.97,PGA(NS)=   1.73,PGA(EW)=   2.34,PGV(V)=   0.07,PGV(NS)=   0.10,PGV(EW)=   0.13,Int= 2級,PGA(SUM)=   2.55,PGV(SUM)=   0.15
Stacode=NNS ,Staname=南山  ,Stalon=121.38,Stalat=24.44,Dist=  71.37,BAZ=173.39,PGA(V)=   1.76,PGA(NS)=   2.35,PGA(EW)=   2.05,PGV(V)=   0.05,PGV(NS)=   0.07,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   2.04,PGV(SUM)=   0.08
Stacode=ALS ,Staname=阿里山,Stalon=120.81,Stalat=23.51,Dist=  73.51,BAZ= 64.20,PGA(V)=   0.60,PGA(NS)=   1.66,PGA(EW)=   1.50,PGV(V)=   0.03,PGV(NS)=   0.12,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   2.00,PGV(SUM)=   0.15
Stacode=WJS ,Staname=竹山  ,Stalon=120.73,Stalat=23.82,Dist=  74.86,BAZ= 92.08,PGA(V)=   0.63,PGA(NS)=   2.06,PGA(EW)=   2.14,PGV(V)=   0.06,PGV(NS)=   0.14,PGV(EW)=   0.16,Int= 1級,PGA(SUM)=   2.17,PGV(SUM)=   0.19
