Origin Time:2025/01/21 00:26:25
Lon:120.53°E
Lat:23.18°N
Depth:12.7km
Mag:5.0
Stacode=WTP ,Staname=大埔  ,Stalon=120.62,Stalat=23.24,Dist=  11.89,BAZ=234.85,PGA(V)=   8.33,PGA(NS)=  28.03,PGA(EW)=  56.33,PGV(V)=   0.38,PGV(NS)=   0.88,PGV(EW)=   1.46,Int= 4級,PGA(SUM)=  37.69,PGV(SUM)=   1.73
Stacode=SGS ,Staname=甲仙  ,Stalon=120.59,Stalat=23.08,Dist=  12.99,BAZ=329.99,PGA(V)=   8.30,PGA(NS)=  13.82,PGA(EW)=  21.45,PGV(V)=   0.25,PGV(NS)=   0.35,PGV(EW)=   0.69,Int= 3級,PGA(SUM)=  18.31,PGV(SUM)=   0.70
Stacode=SLG ,Staname=六龜  ,Stalon=120.65,Stalat=22.99,Dist=  24.19,BAZ=329.77,PGA(V)=   7.87,PGA(NS)=   6.49,PGA(EW)=   8.11,PGV(V)=   0.14,PGV(NS)=   0.34,PGV(EW)=   0.43,Int= 2級,PGA(SUM)=   7.91,PGV(SUM)=   0.43
Stacode=SSH ,Staname=善化  ,Stalon=120.29,Stalat=23.14,Dist=  25.01,BAZ= 78.27,PGA(V)=   9.99,PGA(NS)=   9.16,PGA(EW)=  11.12,PGV(V)=   0.40,PGV(NS)=   0.82,PGV(EW)=   0.72,Int= 3級,PGA(SUM)=  11.59,PGV(SUM)=   0.87
Stacode=SHH ,Staname=新化  ,Stalon=120.35,Stalat=23.02,Dist=  25.58,BAZ= 45.92,PGA(V)=   4.43,PGA(NS)=   8.96,PGA(EW)=   9.72,PGV(V)=   0.24,PGV(NS)=   0.68,PGV(EW)=   0.77,Int= 3級,PGA(SUM)=   9.68,PGV(SUM)=   0.91
Stacode=STYH,Staname=桃源  ,Stalon=120.78,Stalat=23.18,Dist=  25.98,BAZ=270.66,PGA(V)=   3.24,PGA(NS)=   4.21,PGA(EW)=   6.10,PGV(V)=   0.08,PGV(NS)=   0.14,PGV(EW)=   0.19,Int= 2級,PGA(SUM)=   5.34,PGV(SUM)=   0.20
Stacode=WCKO,Staname=番路  ,Stalon=120.60,Stalat=23.44,Dist=  29.50,BAZ=195.56,PGA(V)=   6.50,PGA(NS)=  14.94,PGA(EW)=  12.82,PGV(V)=   0.22,PGV(NS)=   0.52,PGV(EW)=   0.61,Int= 3級,PGA(SUM)=  17.15,PGV(SUM)=   0.62
Stacode=SCS ,Staname=旗山  ,Stalon=120.49,Stalat=22.89,Dist=  33.01,BAZ=  5.98,PGA(V)=   3.19,PGA(NS)=   9.40,PGA(EW)=   7.13,PGV(V)=   0.19,PGV(NS)=   0.56,PGV(EW)=   0.35,Int= 3級,PGA(SUM)=   9.39,PGV(SUM)=   0.56
Stacode=SCL ,Staname=佳里  ,Stalon=120.20,Stalat=23.17,Dist=  33.34,BAZ= 88.53,PGA(V)=   4.24,PGA(NS)=   8.95,PGA(EW)=   6.85,PGV(V)=   0.13,PGV(NS)=   0.33,PGV(EW)=   0.63,Int= 3級,PGA(SUM)=   8.54,PGV(SUM)=   0.64
Stacode=TAI1,Staname=永康  ,Stalon=120.24,Stalat=23.04,Dist=  33.78,BAZ= 61.83,PGA(V)=   2.07,PGA(NS)=   4.01,PGA(EW)=   2.98,PGV(V)=   0.09,PGV(NS)=   0.32,PGV(EW)=   0.26,Int= 2級,PGA(SUM)=   4.07,PGV(SUM)=   0.34
Stacode=CHY ,Staname=嘉義市,Stalon=120.43,Stalat=23.50,Dist=  36.13,BAZ=164.43,PGA(V)=   2.96,PGA(NS)=  12.51,PGA(EW)=  14.92,PGV(V)=   0.14,PGV(NS)=   0.67,PGV(EW)=   0.71,Int= 3級,PGA(SUM)=  15.42,PGV(SUM)=   0.80
