Origin Time:2025/01/21 00:29:23
Lon:120.55¢XE
Lat:23.15¢XN
Depth:12.8km
Mag:4.7
Stacode=SGS ,Staname=¥Ò¥P  ,Stalon=120.59,Stalat=23.08,Dist=   9.13,BAZ=332.41,PGA(V)=   8.63,PGA(NS)=  25.06,PGA(EW)=  38.03,PGV(V)=   0.37,PGV(NS)=   1.03,PGV(EW)=   1.52,Int= 4¯Å,PGA(SUM)=  40.07,PGV(SUM)=   1.70
Stacode=WTP ,Staname=¤j®H  ,Stalon=120.62,Stalat=23.24,Dist=  12.47,BAZ=216.69,PGA(V)=  23.94,PGA(NS)=  99.09,PGA(EW)= 177.82,PGV(V)=   0.35,PGV(NS)=   1.37,PGV(EW)=   3.13,Int= 4¯Å,PGA(SUM)= 139.41,PGV(SUM)=   3.24
Stacode=SLG ,Staname=¤»Àt  ,Stalon=120.65,Stalat=22.99,Dist=  20.32,BAZ=330.82,PGA(V)=   9.13,PGA(NS)=  13.95,PGA(EW)=  13.54,PGV(V)=   0.24,PGV(NS)=   0.46,PGV(EW)=   0.53,Int= 3¯Å,PGA(SUM)=  14.85,PGV(SUM)=   0.54
Stacode=STYH,Staname=®ç·½  ,Stalon=120.78,Stalat=23.18,Dist=  23.88,BAZ=263.13,PGA(V)=  26.60,PGA(NS)=  26.10,PGA(EW)=  24.97,PGV(V)=   0.37,PGV(NS)=   0.51,PGV(EW)=   0.56,Int= 4¯Å,PGA(SUM)=  26.03,PGV(SUM)=   0.59
Stacode=SHH ,Staname=·s¤Æ  ,Stalon=120.35,Stalat=23.02,Dist=  25.31,BAZ= 54.67,PGA(V)=   7.17,PGA(NS)=  13.17,PGA(EW)=  15.93,PGV(V)=   0.29,PGV(NS)=   0.48,PGV(EW)=   0.54,Int= 3¯Å,PGA(SUM)=  15.78,PGV(SUM)=   0.57
Stacode=C015,Staname=¥Õªe  ,Stalon=120.41,Stalat=23.35,Dist=  26.02,BAZ=147.92,PGA(V)=   8.57,PGA(NS)=  12.82,PGA(EW)=  14.48,PGV(V)=   0.24,PGV(NS)=   0.42,PGV(EW)=   0.44,Int= 3¯Å,PGA(SUM)=  14.29,PGV(SUM)=   0.45
Stacode=SSH ,Staname=µ½¤Æ  ,Stalon=120.29,Stalat=23.14,Dist=  26.83,BAZ= 85.88,PGA(V)=  11.42,PGA(NS)=   8.93,PGA(EW)=   7.75,PGV(V)=   0.25,PGV(NS)=   0.46,PGV(EW)=   0.45,Int= 3¯Å,PGA(SUM)=  10.13,PGV(SUM)=   0.51
Stacode=SCS ,Staname=ºX¤s  ,Stalon=120.49,Stalat=22.89,Dist=  30.22,BAZ= 10.89,PGA(V)=   5.39,PGA(NS)=   8.33,PGA(EW)=   6.73,PGV(V)=   0.18,PGV(NS)=   0.23,PGV(EW)=   0.24,Int= 3¯Å,PGA(SUM)=   9.20,PGV(SUM)=   0.30
Stacode=WCKO,Staname=µf¸ô  ,Stalon=120.60,Stalat=23.44,Dist=  32.07,BAZ=190.14,PGA(V)=   4.47,PGA(NS)=   9.71,PGA(EW)=  11.27,PGV(V)=   0.12,PGV(NS)=   0.27,PGV(EW)=   0.26,Int= 3¯Å,PGA(SUM)=  10.49,PGV(SUM)=   0.30
Stacode=TAI1,Staname=¥Ã±d  ,Stalon=120.24,Stalat=23.04,Dist=  34.51,BAZ= 68.24,PGA(V)=   4.77,PGA(NS)=   3.11,PGA(EW)=   2.81,PGV(V)=   0.14,PGV(NS)=   0.26,PGV(EW)=   0.13,Int= 2¯Å,PGA(SUM)=   3.18,PGV(SUM)=   0.27
Stacode=SCL ,Staname=¨Î¨½  ,Stalon=120.20,Stalat=23.17,Dist=  35.67,BAZ= 93.70,PGA(V)=   3.09,PGA(NS)=   4.08,PGA(EW)=   4.63,PGV(V)=   0.09,PGV(NS)=   0.17,PGV(EW)=   0.17,Int= 2¯Å,PGA(SUM)=   4.34,PGV(SUM)=   0.19
