Origin Time:2025/01/21 01:06:40
Lon:120.51¢XE
Lat:23.19¢XN
Depth:11.4km
Mag:4.2
Stacode=CHN1,Staname=·£¦è  ,Stalon=120.53,Stalat=23.18,Dist=   2.05,BAZ=285.48,PGA(V)=  19.79,PGA(NS)=  48.55,PGA(EW)=  29.54,PGV(V)=   0.66,PGV(NS)=   1.66,PGV(EW)=   0.78,Int= 4¯Å,PGA(SUM)=  46.88,PGV(SUM)=   1.78
Stacode=WTP ,Staname=¤j®H  ,Stalon=120.62,Stalat=23.24,Dist=  13.01,BAZ=242.66,PGA(V)=   3.44,PGA(NS)=  21.79,PGA(EW)=  18.93,PGV(V)=   0.09,PGV(NS)=   0.49,PGV(EW)=   0.34,Int= 3¯Å,PGA(SUM)=  13.43,PGV(SUM)=   0.53
Stacode=SGS ,Staname=¥Ò¥P  ,Stalon=120.59,Stalat=23.08,Dist=  14.71,BAZ=325.46,PGA(V)=   1.68,PGA(NS)=   4.20,PGA(EW)=   4.32,PGV(V)=   0.08,PGV(NS)=   0.11,PGV(EW)=   0.19,Int= 2¯Å,PGA(SUM)=   5.21,PGV(SUM)=   0.19
Stacode=C015,Staname=¥Õªe  ,Stalon=120.41,Stalat=23.35,Dist=  20.48,BAZ=151.69,PGA(V)=   3.94,PGA(NS)=   8.10,PGA(EW)=   6.44,PGV(V)=   0.12,PGV(NS)=   0.30,PGV(EW)=   0.22,Int= 2¯Å,PGA(SUM)=   6.75,PGV(SUM)=   0.30
Stacode=SSH ,Staname=µ½¤Æ  ,Stalon=120.29,Stalat=23.14,Dist=  23.41,BAZ= 75.27,PGA(V)=   3.87,PGA(NS)=   3.12,PGA(EW)=   2.83,PGV(V)=   0.05,PGV(NS)=   0.11,PGV(EW)=   0.12,Int= 2¯Å,PGA(SUM)=   3.70,PGV(SUM)=   0.14
Stacode=SHH ,Staname=·s¤Æ  ,Stalon=120.35,Stalat=23.02,Dist=  24.93,BAZ= 41.54,PGA(V)=   1.49,PGA(NS)=   1.84,PGA(EW)=   1.67,PGV(V)=   0.05,PGV(NS)=   0.07,PGV(EW)=   0.11,Int= 1¯Å,PGA(SUM)=   1.88,PGV(SUM)=   0.12
Stacode=SLG ,Staname=¤»Àt  ,Stalon=120.65,Stalat=22.99,Dist=  25.89,BAZ=327.21,PGA(V)=   2.18,PGA(NS)=   1.21,PGA(EW)=   1.55,PGV(V)=   0.05,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.72,PGV(SUM)=   0.06
Stacode=STYH,Staname=®ç·½  ,Stalon=120.78,Stalat=23.18,Dist=  27.84,BAZ=272.40,PGA(V)=   0.82,PGA(NS)=   1.45,PGA(EW)=   1.23,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.22,PGV(SUM)=   0.04
Stacode=WCKO,Staname=µf¸ô  ,Stalon=120.60,Stalat=23.44,Dist=  29.23,BAZ=199.49,PGA(V)=   1.79,PGA(NS)=   4.60,PGA(EW)=   4.53,PGV(V)=   0.07,PGV(NS)=   0.18,PGV(EW)=   0.22,Int= 2¯Å,PGA(SUM)=   6.11,PGV(SUM)=   0.29
Stacode=SCL ,Staname=¨Î¨½  ,Stalon=120.20,Stalat=23.17,Dist=  31.53,BAZ= 86.87,PGA(V)=   1.24,PGA(NS)=   1.74,PGA(EW)=   1.63,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.77,PGV(SUM)=   0.08
Stacode=TAI1,Staname=¥Ã±d  ,Stalon=120.24,Stalat=23.04,Dist=  32.60,BAZ= 58.95,PGA(V)=   0.54,PGA(NS)=   1.12,PGA(EW)=   1.57,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.66,PGV(SUM)=   0.07
Stacode=SCS ,Staname=ºX¤s  ,Stalon=120.49,Stalat=22.89,Dist=  33.74,BAZ=  2.70,PGA(V)=   1.30,PGA(NS)=   2.21,PGA(EW)=   2.16,PGV(V)=   0.04,PGV(NS)=   0.11,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   2.35,PGV(SUM)=   0.11
Stacode=CHN8,Staname=¸q¦Ë  ,Stalon=120.22,Stalat=23.35,Dist=  34.12,BAZ=120.74,PGA(V)=   1.35,PGA(NS)=   3.38,PGA(EW)=   1.86,PGV(V)=   0.03,PGV(NS)=   0.10,PGV(EW)=   0.08,Int= 2¯Å,PGA(SUM)=   2.99,PGV(SUM)=   0.11
Stacode=CHY ,Staname=¹Å¸q¥«,Stalon=120.43,Stalat=23.50,Dist=  34.84,BAZ=166.97,PGA(V)=   0.91,PGA(NS)=   2.52,PGA(EW)=   2.68,PGV(V)=   0.03,PGV(NS)=   0.16,PGV(EW)=   0.15,Int= 2¯Å,PGA(SUM)=   3.05,PGV(SUM)=   0.18
Stacode=CHY1,Staname=¤Ó«O¥«,Stalon=120.29,Stalat=23.46,Dist=  36.89,BAZ=143.33,PGA(V)=   1.32,PGA(NS)=   1.94,PGA(EW)=   2.93,PGV(V)=   0.04,PGV(NS)=   0.10,PGV(EW)=   0.09,Int= 2¯Å,PGA(SUM)=   2.77,PGV(SUM)=   0.11
Stacode=CHN2,Staname=¥Á¶¯  ,Stalon=120.47,Stalat=23.53,Dist=  38.05,BAZ=174.62,PGA(V)=   1.80,PGA(NS)=   3.88,PGA(EW)=   2.62,PGV(V)=   0.08,PGV(NS)=   0.14,PGV(EW)=   0.12,Int= 2¯Å,PGA(SUM)=   3.54,PGV(SUM)=   0.16
Stacode=WSL ,Staname=¤ôªL  ,Stalon=120.23,Stalat=23.52,Dist=  46.76,BAZ=142.01,PGA(V)=   0.71,PGA(NS)=   1.17,PGA(EW)=   0.99,PGV(V)=   0.01,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.03,PGV(SUM)=   0.06
Stacode=ALS ,Staname=ªü¨½¤s,Stalon=120.81,Stalat=23.51,Dist=  47.02,BAZ=221.39,PGA(V)=   0.60,PGA(NS)=   1.70,PGA(EW)=   0.92,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   1.56,PGV(SUM)=   0.05
Stacode=CHN5,Staname=¯óÀ­  ,Stalon=120.68,Stalat=23.60,Dist=  48.26,BAZ=200.79,PGA(V)=   0.41,PGA(NS)=   0.99,PGA(EW)=   0.86,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   0.88,PGV(SUM)=   0.05
Stacode=WTK ,Staname=¤g®w  ,Stalon=120.39,Stalat=23.69,Dist=  56.49,BAZ=167.39,PGA(V)=   0.84,PGA(NS)=   1.27,PGA(EW)=   0.95,PGV(V)=   0.01,PGV(NS)=   0.04,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   1.12,PGV(SUM)=   0.05
Stacode=YUS ,Staname=¥É¤s  ,Stalon=120.96,Stalat=23.49,Dist=  56.60,BAZ=234.40,PGA(V)=   0.24,PGA(NS)=   0.71,PGA(EW)=   0.76,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   0.87,PGV(SUM)=   0.04
Stacode=WSF ,Staname=¥|´ò  ,Stalon=120.23,Stalat=23.64,Dist=  57.10,BAZ=149.98,PGA(V)=   0.74,PGA(NS)=   1.59,PGA(EW)=   2.45,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   2.04,PGV(SUM)=   0.07
Stacode=WDL ,Staname=¤æ¤»¥«,Stalon=120.54,Stalat=23.71,Dist=  58.23,BAZ=182.93,PGA(V)=   0.62,PGA(NS)=   0.78,PGA(EW)=   0.70,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   0.82,PGV(SUM)=   0.04
Stacode=WRL ,Staname=¤GªL  ,Stalon=120.38,Stalat=23.90,Dist=  80.07,BAZ=170.37,PGA(V)=   1.34,PGA(NS)=   1.62,PGA(EW)=   1.72,PGV(V)=   0.03,PGV(NS)=   0.04,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.77,PGV(SUM)=   0.05
Stacode=B112,Staname=³À´ä  ,Stalon=120.43,Stalat=24.06,Dist=  96.18,BAZ=175.19,PGA(V)=   0.71,PGA(NS)=   1.10,PGA(EW)=   1.04,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.02,Int= 1¯Å,PGA(SUM)=   1.21,PGV(SUM)=   0.03
Stacode=WCHH,Staname=¹ü¤Æ¥«,Stalon=120.56,Stalat=24.08,Dist=  98.66,BAZ=182.90,PGA(V)=   1.03,PGA(NS)=   1.82,PGA(EW)=   2.49,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.81,PGV(SUM)=   0.05
Stacode=WWC ,Staname=±ï´Ï  ,Stalon=120.52,Stalat=24.26,Dist= 118.15,BAZ=180.70,PGA(V)=   0.68,PGA(NS)=   0.85,PGA(EW)=   0.73,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   0.97,PGV(SUM)=   0.03
