Origin Time:2025/01/21 01:46:52
Lon:120.53¢XE
Lat:23.21¢XN
Depth:12.1km
Mag:4.3
Stacode=WTP ,Staname=¤j®H  ,Stalon=120.62,Stalat=23.24,Dist=   9.97,BAZ=247.48,PGA(V)=   6.10,PGA(NS)=  54.87,PGA(EW)=  54.26,PGV(V)=   0.16,PGV(NS)=   0.54,PGV(EW)=   0.79,Int= 4¯Å,PGA(SUM)=  27.49,PGV(SUM)=   0.82
Stacode=SGS ,Staname=¥Ò¥P  ,Stalon=120.59,Stalat=23.08,Dist=  15.48,BAZ=337.25,PGA(V)=   0.93,PGA(NS)=   2.21,PGA(EW)=   2.92,PGV(V)=   0.05,PGV(NS)=   0.10,PGV(EW)=   0.11,Int= 2¯Å,PGA(SUM)=   2.60,PGV(SUM)=   0.13
Stacode=C015,Staname=¥Õªe  ,Stalon=120.41,Stalat=23.35,Dist=  19.93,BAZ=142.75,PGA(V)=   7.96,PGA(NS)=  14.00,PGA(EW)=  13.60,PGV(V)=   0.22,PGV(NS)=   0.42,PGV(EW)=   0.51,Int= 3¯Å,PGA(SUM)=  15.57,PGV(SUM)=   0.62
Stacode=STYH,Staname=®ç·½  ,Stalon=120.78,Stalat=23.18,Dist=  25.68,BAZ=277.44,PGA(V)=   1.92,PGA(NS)=   2.37,PGA(EW)=   1.88,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.78,PGV(SUM)=   0.06
Stacode=SSH ,Staname=µ½¤Æ  ,Stalon=120.29,Stalat=23.14,Dist=  26.28,BAZ= 72.02,PGA(V)=   1.95,PGA(NS)=   1.32,PGA(EW)=   1.51,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.14,Int= 1¯Å,PGA(SUM)=   1.47,PGV(SUM)=   0.15
Stacode=WCKO,Staname=µf¸ô  ,Stalon=120.60,Stalat=23.44,Dist=  26.45,BAZ=196.25,PGA(V)=   3.78,PGA(NS)=   9.61,PGA(EW)=   9.88,PGV(V)=   0.11,PGV(NS)=   0.29,PGV(EW)=   0.33,Int= 3¯Å,PGA(SUM)=   9.58,PGV(SUM)=   0.33
Stacode=SHH ,Staname=·s¤Æ  ,Stalon=120.35,Stalat=23.02,Dist=  28.11,BAZ= 42.21,PGA(V)=   0.71,PGA(NS)=   0.94,PGA(EW)=   1.12,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.36,PGV(SUM)=   0.05
Stacode=CHY ,Staname=¹Å¸q¥«,Stalon=120.43,Stalat=23.50,Dist=  33.38,BAZ=162.20,PGA(V)=   1.28,PGA(NS)=   3.20,PGA(EW)=   3.16,PGV(V)=   0.03,PGV(NS)=   0.16,PGV(EW)=   0.13,Int= 2¯Å,PGA(SUM)=   3.72,PGV(SUM)=   0.18
Stacode=SCL ,Staname=¨Î¨½  ,Stalon=120.20,Stalat=23.17,Dist=  34.06,BAZ= 83.46,PGA(V)=   0.68,PGA(NS)=   1.23,PGA(EW)=   1.31,PGV(V)=   0.02,PGV(NS)=   0.09,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.12,PGV(SUM)=   0.10
Stacode=CHN8,Staname=¸q¦Ë  ,Stalon=120.22,Stalat=23.35,Dist=  35.17,BAZ=115.75,PGA(V)=   1.09,PGA(NS)=   2.13,PGA(EW)=   1.91,PGV(V)=   0.03,PGV(NS)=   0.09,PGV(EW)=   0.10,Int= 2¯Å,PGA(SUM)=   2.65,PGV(SUM)=   0.12
Stacode=TAI1,Staname=¥Ã±d  ,Stalon=120.24,Stalat=23.04,Dist=  35.74,BAZ= 57.93,PGA(V)=   0.38,PGA(NS)=   0.85,PGA(EW)=   0.54,PGV(V)=   0.01,PGV(NS)=   0.07,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   0.97,PGV(SUM)=   0.07
Stacode=CHN2,Staname=¥Á¶¯  ,Stalon=120.47,Stalat=23.53,Dist=  36.21,BAZ=170.59,PGA(V)=   1.86,PGA(NS)=   3.77,PGA(EW)=   3.89,PGV(V)=   0.05,PGV(NS)=   0.12,PGV(EW)=   0.12,Int= 2¯Å,PGA(SUM)=   3.93,PGV(SUM)=   0.13
Stacode=CHY1,Staname=¤Ó«O¥«,Stalon=120.29,Stalat=23.46,Dist=  36.70,BAZ=138.37,PGA(V)=   1.29,PGA(NS)=   2.43,PGA(EW)=   2.77,PGV(V)=   0.05,PGV(NS)=   0.13,PGV(EW)=   0.10,Int= 2¯Å,PGA(SUM)=   2.70,PGV(SUM)=   0.14
Stacode=ALS ,Staname=ªü¨½¤s,Stalon=120.81,Stalat=23.51,Dist=  43.85,BAZ=220.94,PGA(V)=   1.23,PGA(NS)=   3.32,PGA(EW)=   4.04,PGV(V)=   0.04,PGV(NS)=   0.10,PGV(EW)=   0.10,Int= 2¯Å,PGA(SUM)=   3.77,PGV(SUM)=   0.11
