Origin Time:2025/01/21 04:05:59
Lon:120.56°E
Lat:23.25°N
Depth:14.9km
Mag:4.9
Stacode=WTP ,Staname=大埔  ,Stalon=120.62,Stalat=23.24,Dist=   6.23,BAZ=272.24,PGA(V)=  27.46,PGA(NS)= 163.25,PGA(EW)= 361.74,PGV(V)=   0.49,PGV(NS)=   3.11,PGV(EW)=   7.28,Int= 4級,PGA(SUM)= 302.29,PGV(SUM)=   7.92
Stacode=SNS ,Staname=曾文  ,Stalon=120.50,Stalat=23.22,Dist=   7.18,BAZ= 66.17,PGA(V)=  18.05,PGA(NS)=  35.27,PGA(EW)=  27.94,PGV(V)=   0.59,PGV(NS)=   0.89,PGV(EW)=   1.37,Int= 4級,PGA(SUM)=  33.44,PGV(SUM)=   1.65
Stacode=SGS ,Staname=甲仙  ,Stalon=120.59,Stalat=23.08,Dist=  18.58,BAZ=350.71,PGA(V)=  12.60,PGA(NS)=  28.79,PGA(EW)=  36.03,PGV(V)=   0.40,PGV(NS)=   1.22,PGV(EW)=   1.38,Int= 4級,PGA(SUM)=  37.70,PGV(SUM)=   1.85
Stacode=C015,Staname=白河  ,Stalon=120.41,Stalat=23.35,Dist=  19.12,BAZ=128.12,PGA(V)=  14.32,PGA(NS)=  22.83,PGA(EW)=  22.80,PGV(V)=   0.34,PGV(NS)=   1.10,PGV(EW)=   1.64,Int= 4級,PGA(SUM)=  25.46,PGV(SUM)=   1.65
Stacode=WCKO,Staname=番路  ,Stalon=120.60,Stalat=23.44,Dist=  21.78,BAZ=191.70,PGA(V)=   4.51,PGA(NS)=  10.75,PGA(EW)=   7.61,PGV(V)=   0.09,PGV(NS)=   0.30,PGV(EW)=   0.35,Int= 3級,PGA(SUM)=   9.51,PGV(SUM)=   0.36
Stacode=STYH,Staname=桃源  ,Stalon=120.78,Stalat=23.18,Dist=  23.66,BAZ=288.19,PGA(V)=   9.02,PGA(NS)=   5.87,PGA(EW)=  11.69,PGV(V)=   0.16,PGV(NS)=   0.17,PGV(EW)=   0.28,Int= 3級,PGA(SUM)=  10.39,PGV(SUM)=   0.29
Stacode=SLG ,Staname=六龜  ,Stalon=120.65,Stalat=22.99,Dist=  29.30,BAZ=342.78,PGA(V)=   3.77,PGA(NS)=   5.12,PGA(EW)=   5.56,PGV(V)=   0.13,PGV(NS)=   0.21,PGV(EW)=   0.20,Int= 2級,PGA(SUM)=   6.78,PGV(SUM)=   0.26
Stacode=SSH ,Staname=善化  ,Stalon=120.29,Stalat=23.14,Dist=  30.51,BAZ= 66.49,PGA(V)=  10.39,PGA(NS)=   9.83,PGA(EW)=  14.56,PGV(V)=   0.22,PGV(NS)=   0.95,PGV(EW)=   0.79,Int= 3級,PGA(SUM)=  14.12,PGV(SUM)=   0.96
Stacode=CHY ,Staname=嘉義市,Stalon=120.43,Stalat=23.50,Dist=  30.70,BAZ=154.56,PGA(V)=   3.95,PGA(NS)=  11.90,PGA(EW)=   7.79,PGV(V)=   0.12,PGV(NS)=   0.53,PGV(EW)=   0.34,Int= 3級,PGA(SUM)=  12.45,PGV(SUM)=   0.54
Stacode=CHN2,Staname=民雄  ,Stalon=120.47,Stalat=23.53,Dist=  32.89,BAZ=164.30,PGA(V)=   6.20,PGA(NS)=   8.43,PGA(EW)=   5.50,PGV(V)=   0.12,PGV(NS)=   0.24,PGV(EW)=   0.22,Int= 2級,PGA(SUM)=   5.78,PGV(SUM)=   0.26
Stacode=SHH ,Staname=新化  ,Stalon=120.35,Stalat=23.02,Dist=  33.13,BAZ= 41.32,PGA(V)=   6.79,PGA(NS)=   8.54,PGA(EW)=  11.08,PGV(V)=   0.20,PGV(NS)=   0.33,PGV(EW)=   0.56,Int= 3級,PGA(SUM)=  12.42,PGV(SUM)=   0.56
