Origin Time:2025/01/21 04:28:39
Lon:120.57¢XE
Lat:23.17¢XN
Depth:15.1km
Mag:4.2
Stacode=SNS ,Staname=´¿¤å  ,Stalon=120.50,Stalat=23.22,Dist=   9.21,BAZ=126.49,PGA(V)=   2.77,PGA(NS)=   9.67,PGA(EW)=  10.46,PGV(V)=   0.08,PGV(NS)=   0.33,PGV(EW)=   0.35,Int= 3¯Å,PGA(SUM)=   8.84,PGV(SUM)=   0.35
Stacode=WTP ,Staname=¤j®H  ,Stalon=120.62,Stalat=23.24,Dist=   9.76,BAZ=213.51,PGA(V)=   3.71,PGA(NS)=  41.33,PGA(EW)=  34.30,PGV(V)=   0.08,PGV(NS)=   0.60,PGV(EW)=   0.59,Int= 4¯Å,PGA(SUM)=  25.58,PGV(SUM)=   0.65
Stacode=SGS ,Staname=¥Ò¥P  ,Stalon=120.59,Stalat=23.08,Dist=  10.19,BAZ=347.74,PGA(V)=   5.96,PGA(NS)=  12.73,PGA(EW)=  14.95,PGV(V)=   0.17,PGV(NS)=   0.28,PGV(EW)=   0.58,Int= 3¯Å,PGA(SUM)=  14.99,PGV(SUM)=   0.63
Stacode=SLG ,Staname=¤»Àt  ,Stalon=120.65,Stalat=22.99,Dist=  21.11,BAZ=338.20,PGA(V)=   1.82,PGA(NS)=   2.52,PGA(EW)=   2.51,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   2.30,PGV(SUM)=   0.08
Stacode=STYH,Staname=®ç·½  ,Stalon=120.78,Stalat=23.18,Dist=  21.67,BAZ=267.37,PGA(V)=   4.48,PGA(NS)=   2.59,PGA(EW)=   5.16,PGV(V)=   0.07,PGV(NS)=   0.06,PGV(EW)=   0.08,Int= 2¯Å,PGA(SUM)=   3.33,PGV(SUM)=   0.08
Stacode=C015,Staname=¥Õªe  ,Stalon=120.41,Stalat=23.35,Dist=  25.69,BAZ=141.80,PGA(V)=   4.82,PGA(NS)=   8.17,PGA(EW)=   6.31,PGV(V)=   0.14,PGV(NS)=   0.26,PGV(EW)=   0.27,Int= 3¯Å,PGA(SUM)=   8.50,PGV(SUM)=   0.33
Stacode=SHH ,Staname=·s¤Æ  ,Stalon=120.35,Stalat=23.02,Dist=  28.08,BAZ= 54.00,PGA(V)=   4.16,PGA(NS)=   5.33,PGA(EW)=   6.50,PGV(V)=   0.12,PGV(NS)=   0.20,PGV(EW)=   0.26,Int= 2¯Å,PGA(SUM)=   6.54,PGV(SUM)=   0.28
Stacode=SSH ,Staname=µ½¤Æ  ,Stalon=120.29,Stalat=23.14,Dist=  29.07,BAZ= 82.51,PGA(V)=   3.80,PGA(NS)=   5.10,PGA(EW)=   4.04,PGV(V)=   0.06,PGV(NS)=   0.16,PGV(EW)=   0.19,Int= 2¯Å,PGA(SUM)=   5.02,PGV(SUM)=   0.20
Stacode=WCKO,Staname=µf¸ô  ,Stalon=120.60,Stalat=23.44,Dist=  29.92,BAZ=186.88,PGA(V)=   0.78,PGA(NS)=   2.50,PGA(EW)=   2.74,PGV(V)=   0.02,PGV(NS)=   0.07,PGV(EW)=   0.08,Int= 2¯Å,PGA(SUM)=   3.10,PGV(SUM)=   0.09
Stacode=SCS ,Staname=ºX¤s  ,Stalon=120.49,Stalat=22.89,Dist=  32.49,BAZ= 13.85,PGA(V)=   1.60,PGA(NS)=   2.16,PGA(EW)=   2.37,PGV(V)=   0.06,PGV(NS)=   0.11,PGV(EW)=   0.10,Int= 2¯Å,PGA(SUM)=   3.26,PGV(SUM)=   0.13
Stacode=TAI1,Staname=¥Ã±d  ,Stalon=120.24,Stalat=23.04,Dist=  37.13,BAZ= 66.75,PGA(V)=   0.91,PGA(NS)=   1.11,PGA(EW)=   1.06,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.24,PGV(SUM)=   0.07
