Origin Time:2025/01/22 08:41:40
Lon:120.56¢XE
Lat:23.22¢XN
Depth:16.6km
Mag:4.2
Stacode=SNS ,Staname=´¿¤å  ,Stalon=120.50,Stalat=23.22,Dist=   5.95,BAZ= 92.63,PGA(V)=   5.30,PGA(NS)=   5.53,PGA(EW)=   5.01,PGV(V)=   0.11,PGV(NS)=   0.11,PGV(EW)=   0.13,Int= 2¯Å,PGA(SUM)=   4.05,PGV(SUM)=   0.17
Stacode=WTP ,Staname=¤j®H  ,Stalon=120.62,Stalat=23.24,Dist=   7.45,BAZ=246.84,PGA(V)=   7.68,PGA(NS)=  54.06,PGA(EW)=  78.77,PGV(V)=   0.19,PGV(NS)=   0.95,PGV(EW)=   1.34,Int= 4¯Å,PGA(SUM)=  63.94,PGV(SUM)=   1.64
Stacode=SGS ,Staname=¥Ò¥P  ,Stalon=120.59,Stalat=23.08,Dist=  15.59,BAZ=346.53,PGA(V)=   1.23,PGA(NS)=   1.98,PGA(EW)=   2.09,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.10,Int= 1¯Å,PGA(SUM)=   2.36,PGV(SUM)=   0.10
Stacode=C015,Staname=¥Õªe  ,Stalon=120.41,Stalat=23.35,Dist=  20.79,BAZ=136.10,PGA(V)=   5.71,PGA(NS)=   7.62,PGA(EW)=   7.56,PGV(V)=   0.14,PGV(NS)=   0.16,PGV(EW)=   0.33,Int= 2¯Å,PGA(SUM)=   7.29,PGV(SUM)=   0.33
Stacode=STYH,Staname=®ç·½  ,Stalon=120.78,Stalat=23.18,Dist=  23.49,BAZ=280.33,PGA(V)=   2.11,PGA(NS)=   4.40,PGA(EW)=   2.35,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.06,Int= 2¯Å,PGA(SUM)=   3.27,PGV(SUM)=   0.08
Stacode=WCKO,Staname=µf¸ô  ,Stalon=120.60,Stalat=23.44,Dist=  25.02,BAZ=191.64,PGA(V)=   4.35,PGA(NS)=  10.05,PGA(EW)=   9.34,PGV(V)=   0.09,PGV(NS)=   0.32,PGV(EW)=   0.27,Int= 3¯Å,PGA(SUM)=  12.27,PGV(SUM)=   0.43
Stacode=SSH ,Staname=µ½¤Æ  ,Stalon=120.29,Stalat=23.14,Dist=  28.79,BAZ= 71.79,PGA(V)=   2.03,PGA(NS)=   1.71,PGA(EW)=   2.33,PGV(V)=   0.03,PGV(NS)=   0.09,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   2.30,PGV(SUM)=   0.10
Stacode=SHH ,Staname=·s¤Æ  ,Stalon=120.35,Stalat=23.02,Dist=  30.37,BAZ= 44.38,PGA(V)=   0.80,PGA(NS)=   1.05,PGA(EW)=   1.18,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.27,PGV(SUM)=   0.06
Stacode=CHY ,Staname=¹Å¸q¥«,Stalon=120.43,Stalat=23.50,Dist=  33.35,BAZ=157.88,PGA(V)=   3.30,PGA(NS)=   4.14,PGA(EW)=   4.77,PGV(V)=   0.06,PGV(NS)=   0.12,PGV(EW)=   0.14,Int= 2¯Å,PGA(SUM)=   5.17,PGV(SUM)=   0.15
Stacode=CHN2,Staname=¥Á¶¯  ,Stalon=120.47,Stalat=23.53,Dist=  35.81,BAZ=166.64,PGA(V)=   3.97,PGA(NS)=   9.90,PGA(EW)=   7.82,PGV(V)=   0.07,PGV(NS)=   0.16,PGV(EW)=   0.16,Int= 2¯Å,PGA(SUM)=   6.20,PGV(SUM)=   0.19
Stacode=SCL ,Staname=¨Î¨½  ,Stalon=120.20,Stalat=23.17,Dist=  36.50,BAZ= 82.50,PGA(V)=   0.87,PGA(NS)=   1.37,PGA(EW)=   1.68,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.65,PGV(SUM)=   0.09
Stacode=CHN8,Staname=¸q¦Ë  ,Stalon=120.22,Stalat=23.35,Dist=  36.94,BAZ=112.93,PGA(V)=   1.88,PGA(NS)=   4.45,PGA(EW)=   3.81,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.13,Int= 2¯Å,PGA(SUM)=   3.60,PGV(SUM)=   0.13
Stacode=SCS ,Staname=ºX¤s  ,Stalon=120.49,Stalat=22.89,Dist=  37.28,BAZ=  9.74,PGA(V)=   0.80,PGA(NS)=   0.93,PGA(EW)=   1.11,PGV(V)=   0.03,PGV(NS)=   0.04,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.17,PGV(SUM)=   0.07
Stacode=CHY1,Staname=¤Ó«O¥«,Stalon=120.29,Stalat=23.46,Dist=  37.67,BAZ=134.80,PGA(V)=   3.42,PGA(NS)=   6.06,PGA(EW)=   9.10,PGV(V)=   0.07,PGV(NS)=   0.12,PGV(EW)=   0.20,Int= 2¯Å,PGA(SUM)=   7.55,PGV(SUM)=   0.23
Stacode=TAI1,Staname=¥Ã±d  ,Stalon=120.24,Stalat=23.04,Dist=  38.21,BAZ= 58.68,PGA(V)=   0.49,PGA(NS)=   0.81,PGA(EW)=   0.75,PGV(V)=   0.01,PGV(NS)=   0.04,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   0.81,PGV(SUM)=   0.05
Stacode=ALS ,Staname=ªü¨½¤s,Stalon=120.81,Stalat=23.51,Dist=  41.65,BAZ=219.30,PGA(V)=   0.93,PGA(NS)=   2.31,PGA(EW)=   2.14,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   2.03,PGV(SUM)=   0.09
Stacode=CHN5,Staname=¯óÀ­  ,Stalon=120.68,Stalat=23.60,Dist=  43.87,BAZ=196.45,PGA(V)=   1.57,PGA(NS)=   2.70,PGA(EW)=   3.85,PGV(V)=   0.07,PGV(NS)=   0.14,PGV(EW)=   0.20,Int= 2¯Å,PGA(SUM)=   4.23,PGV(SUM)=   0.21
Stacode=WSL ,Staname=¤ôªL  ,Stalon=120.23,Stalat=23.52,Dist=  47.58,BAZ=135.28,PGA(V)=   1.88,PGA(NS)=   3.84,PGA(EW)=   2.98,PGV(V)=   0.02,PGV(NS)=   0.09,PGV(EW)=   0.07,Int= 2¯Å,PGA(SUM)=   2.80,PGV(SUM)=   0.10
Stacode=ELD ,Staname=§Q½_  ,Stalon=121.03,Stalat=23.19,Dist=  48.20,BAZ=273.98,PGA(V)=   0.54,PGA(NS)=   0.82,PGA(EW)=   0.75,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.02,Int= 1¯Å,PGA(SUM)=   0.91,PGV(SUM)=   0.04
Stacode=YUS ,Staname=¥É¤s  ,Stalon=120.96,Stalat=23.49,Dist=  50.99,BAZ=234.11,PGA(V)=   0.42,PGA(NS)=   1.16,PGA(EW)=   1.12,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.15,PGV(SUM)=   0.04
Stacode=WGK ,Staname=¥j§|  ,Stalon=120.57,Stalat=23.68,Dist=  51.75,BAZ=181.69,PGA(V)=   0.97,PGA(NS)=   3.02,PGA(EW)=   2.24,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.60,PGV(SUM)=   0.05
Stacode=WTK ,Staname=¤g®w  ,Stalon=120.39,Stalat=23.69,Dist=  54.80,BAZ=161.89,PGA(V)=   2.14,PGA(NS)=   2.70,PGA(EW)=   2.88,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.09,Int= 2¯Å,PGA(SUM)=   2.68,PGV(SUM)=   0.10
Stacode=WDL ,Staname=¤æ¤»¥«,Stalon=120.54,Stalat=23.71,Dist=  55.13,BAZ=178.21,PGA(V)=   2.02,PGA(NS)=   1.75,PGA(EW)=   1.56,PGV(V)=   0.04,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.61,PGV(SUM)=   0.06
Stacode=WSF ,Staname=¥|´ò  ,Stalon=120.23,Stalat=23.64,Dist=  57.09,BAZ=144.36,PGA(V)=   3.30,PGA(NS)=   5.35,PGA(EW)=   8.49,PGV(V)=   0.07,PGV(NS)=   0.12,PGV(EW)=   0.20,Int= 2¯Å,PGA(SUM)=   7.45,PGV(SUM)=   0.21
Stacode=WHY ,Staname=«H¸q¶m,Stalon=120.85,Stalat=23.70,Dist=  61.13,BAZ=209.85,PGA(V)=   0.59,PGA(NS)=   1.16,PGA(EW)=   0.89,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.02,Int= 1¯Å,PGA(SUM)=   1.04,PGV(SUM)=   0.03
Stacode=WML ,Staname=³Á¼d  ,Stalon=120.22,Stalat=23.80,Dist=  73.33,BAZ=152.45,PGA(V)=   1.64,PGA(NS)=   1.63,PGA(EW)=   2.64,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   2.32,PGV(SUM)=   0.08
Stacode=WNT ,Staname=¦W¶¡  ,Stalon=120.69,Stalat=23.88,Dist=  74.34,BAZ=190.86,PGA(V)=   0.48,PGA(NS)=   1.39,PGA(EW)=   2.59,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   2.25,PGV(SUM)=   0.08
Stacode=FULB,Staname=´I¨½  ,Stalon=121.29,Stalat=23.20,Dist=  75.62,BAZ=271.56,PGA(V)=   0.64,PGA(NS)=   1.48,PGA(EW)=   1.27,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.69,PGV(SUM)=   0.07
Stacode=WTC ,Staname=¤j«°  ,Stalon=120.29,Stalat=23.86,Dist=  76.36,BAZ=159.16,PGA(V)=   0.78,PGA(NS)=   2.30,PGA(EW)=   2.12,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.94,PGV(SUM)=   0.07
Stacode=WRL ,Staname=¤GªL  ,Stalon=120.38,Stalat=23.90,Dist=  78.02,BAZ=166.59,PGA(V)=   7.58,PGA(NS)=  14.17,PGA(EW)=   8.17,PGV(V)=   0.16,PGV(NS)=   0.39,PGV(EW)=   0.17,Int= 3¯Å,PGA(SUM)=  15.00,PGV(SUM)=   0.42
Stacode=WYL ,Staname=­ûªL  ,Stalon=120.58,Stalat=23.96,Dist=  82.34,BAZ=181.74,PGA(V)=   0.97,PGA(NS)=   1.55,PGA(EW)=   1.08,PGV(V)=   0.14,PGV(NS)=   0.12,PGV(EW)=   0.12,Int= 1¯Å,PGA(SUM)=   1.46,PGV(SUM)=   0.21
Stacode=B219,Staname=Ãú®p  ,Stalon=120.70,Stalat=24.04,Dist=  92.51,BAZ=189.15,PGA(V)=   0.57,PGA(NS)=   1.26,PGA(EW)=   1.24,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.17,PGV(SUM)=   0.04
Stacode=B112,Staname=³À´ä  ,Stalon=120.43,Stalat=24.06,Dist=  93.67,BAZ=172.17,PGA(V)=   0.92,PGA(NS)=   1.44,PGA(EW)=   2.10,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.59,PGV(SUM)=   0.04
Stacode=WCHH,Staname=¹ü¤Æ¥«,Stalon=120.56,Stalat=24.08,Dist=  95.49,BAZ=180.18,PGA(V)=   1.35,PGA(NS)=   2.90,PGA(EW)=   4.82,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.08,Int= 2¯Å,PGA(SUM)=   3.24,PGV(SUM)=   0.08
Stacode=WWC ,Staname=±ï´Ï  ,Stalon=120.52,Stalat=24.26,Dist= 115.15,BAZ=178.38,PGA(V)=   1.38,PGA(NS)=   0.78,PGA(EW)=   0.68,PGV(V)=   0.02,PGV(NS)=   0.02,PGV(EW)=   0.02,Int= 1¯Å,PGA(SUM)=   0.87,PGV(SUM)=   0.03
