Origin Time:2025/01/23 05:31:55
Lon:120.59¢XE
Lat:23.16¢XN
Depth:17.3km
Mag:4.3
Stacode=SGS ,Staname=¥Ò¥P  ,Stalon=120.59,Stalat=23.08,Dist=   8.58,BAZ=  2.31,PGA(V)=   3.92,PGA(NS)=  18.51,PGA(EW)=  17.67,PGV(V)=   0.10,PGV(NS)=   0.37,PGV(EW)=   0.52,Int= 3¯Å,PGA(SUM)=  16.55,PGV(SUM)=   0.53
Stacode=WTP ,Staname=¤j®H  ,Stalon=120.62,Stalat=23.24,Dist=   9.95,BAZ=196.83,PGA(V)=   3.00,PGA(NS)=  22.96,PGA(EW)=  30.40,PGV(V)=   0.07,PGV(NS)=   0.36,PGV(EW)=   0.37,Int= 3¯Å,PGA(SUM)=  15.28,PGV(SUM)=   0.43
Stacode=SNS ,Staname=´¿¤å  ,Stalon=120.50,Stalat=23.22,Dist=  12.06,BAZ=124.69,PGA(V)=   4.39,PGA(NS)=  15.58,PGA(EW)=  20.10,PGV(V)=   0.13,PGV(NS)=   0.43,PGV(EW)=   0.57,Int= 3¯Å,PGA(SUM)=  17.17,PGV(SUM)=   0.57
Stacode=SLG ,Staname=¤»Àt  ,Stalon=120.65,Stalat=22.99,Dist=  18.98,BAZ=343.69,PGA(V)=   1.19,PGA(NS)=   2.66,PGA(EW)=   3.43,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.10,Int= 2¯Å,PGA(SUM)=   2.87,PGV(SUM)=   0.11
Stacode=STYH,Staname=®ç·½  ,Stalon=120.78,Stalat=23.18,Dist=  19.28,BAZ=262.92,PGA(V)=   3.91,PGA(NS)=   5.35,PGA(EW)=   5.36,PGV(V)=   0.05,PGV(NS)=   0.09,PGV(EW)=   0.12,Int= 2¯Å,PGA(SUM)=   4.56,PGV(SUM)=   0.13
Stacode=C015,Staname=¥Õªe  ,Stalon=120.41,Stalat=23.35,Dist=  28.35,BAZ=139.54,PGA(V)=   9.63,PGA(NS)=  19.06,PGA(EW)=  10.74,PGV(V)=   0.25,PGV(NS)=   0.36,PGV(EW)=   0.38,Int= 3¯Å,PGA(SUM)=  17.09,PGV(SUM)=   0.46
Stacode=SHH ,Staname=·s¤Æ  ,Stalon=120.35,Stalat=23.02,Dist=  29.41,BAZ= 59.06,PGA(V)=   1.80,PGA(NS)=   3.36,PGA(EW)=   3.45,PGV(V)=   0.07,PGV(NS)=   0.11,PGV(EW)=   0.17,Int= 2¯Å,PGA(SUM)=   3.82,PGV(SUM)=   0.20
Stacode=WCKO,Staname=µf¸ô  ,Stalon=120.60,Stalat=23.44,Dist=  31.11,BAZ=181.98,PGA(V)=   4.22,PGA(NS)=   9.10,PGA(EW)=   8.33,PGV(V)=   0.10,PGV(NS)=   0.31,PGV(EW)=   0.23,Int= 3¯Å,PGA(SUM)=   8.66,PGV(SUM)=   0.32
Stacode=SSH ,Staname=µ½¤Æ  ,Stalon=120.29,Stalat=23.14,Dist=  31.42,BAZ= 85.61,PGA(V)=   3.20,PGA(NS)=   2.72,PGA(EW)=   2.24,PGV(V)=   0.05,PGV(NS)=   0.09,PGV(EW)=   0.17,Int= 2¯Å,PGA(SUM)=   2.71,PGV(SUM)=   0.17
Stacode=SCS ,Staname=ºX¤s  ,Stalon=120.49,Stalat=22.89,Dist=  31.86,BAZ= 18.83,PGA(V)=   1.17,PGA(NS)=   1.29,PGA(EW)=   1.51,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.78,PGV(SUM)=   0.09
Stacode=TAI1,Staname=¥Ã±d  ,Stalon=120.24,Stalat=23.04,Dist=  38.96,BAZ= 70.08,PGA(V)=   0.54,PGA(NS)=   0.88,PGA(EW)=   0.89,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.00,PGV(SUM)=   0.06
