Origin Time:2025/01/24 17:16:46
Lon:120.52¢XE
Lat:23.20¢XN
Depth:12.0km
Mag:4.0
Stacode=CHN1,Staname=·£¦è  ,Stalon=120.53,Stalat=23.18,Dist=   2.24,BAZ=323.67,PGA(V)=   7.04,PGA(NS)=  14.77,PGA(EW)=  10.81,PGV(V)=   0.24,PGV(NS)=   0.50,PGV(EW)=   0.22,Int= 3¯Å,PGA(SUM)=  15.04,PGV(SUM)=   0.58
Stacode=SNS ,Staname=´¿¤å  ,Stalon=120.50,Stalat=23.22,Dist=   2.79,BAZ=137.67,PGA(V)=   3.14,PGA(NS)=   4.93,PGA(EW)=   5.72,PGV(V)=   0.08,PGV(NS)=   0.12,PGV(EW)=   0.14,Int= 2¯Å,PGA(SUM)=   4.20,PGV(SUM)=   0.17
Stacode=WTP ,Staname=¤j®H  ,Stalon=120.62,Stalat=23.24,Dist=  11.89,BAZ=246.60,PGA(V)=   1.50,PGA(NS)=   8.12,PGA(EW)=  14.31,PGV(V)=   0.05,PGV(NS)=   0.15,PGV(EW)=   0.20,Int= 3¯Å,PGA(SUM)=   8.56,PGV(SUM)=   0.24
Stacode=SGS ,Staname=¥Ò¥P  ,Stalon=120.59,Stalat=23.08,Dist=  15.43,BAZ=330.09,PGA(V)=   0.44,PGA(NS)=   1.42,PGA(EW)=   1.72,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.54,PGV(SUM)=   0.05
Stacode=C015,Staname=¥Õªe  ,Stalon=120.41,Stalat=23.35,Dist=  19.71,BAZ=148.30,PGA(V)=   3.80,PGA(NS)=   7.71,PGA(EW)=   5.22,PGV(V)=   0.07,PGV(NS)=   0.21,PGV(EW)=   0.12,Int= 2¯Å,PGA(SUM)=   7.84,PGV(SUM)=   0.23
Stacode=SSH ,Staname=µ½¤Æ  ,Stalon=120.29,Stalat=23.14,Dist=  24.38,BAZ= 72.81,PGA(V)=   0.98,PGA(NS)=   1.05,PGA(EW)=   1.35,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.11,Int= 1¯Å,PGA(SUM)=   1.41,PGV(SUM)=   0.11
Stacode=SHH ,Staname=·s¤Æ  ,Stalon=120.35,Stalat=23.02,Dist=  26.31,BAZ= 40.78,PGA(V)=   0.44,PGA(NS)=   0.59,PGA(EW)=   0.81,PGV(V)=   0.01,PGV(NS)=   0.02,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   0.82,PGV(SUM)=   0.04
Stacode=WCKO,Staname=µf¸ô  ,Stalon=120.60,Stalat=23.44,Dist=  27.83,BAZ=199.10,PGA(V)=   1.52,PGA(NS)=   4.64,PGA(EW)=   3.84,PGV(V)=   0.04,PGV(NS)=   0.11,PGV(EW)=   0.11,Int= 2¯Å,PGA(SUM)=   4.00,PGV(SUM)=   0.11
Stacode=CHY ,Staname=¹Å¸q¥«,Stalon=120.43,Stalat=23.50,Dist=  33.77,BAZ=165.42,PGA(V)=   1.10,PGA(NS)=   1.49,PGA(EW)=   2.19,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.95,PGV(SUM)=   0.08
Stacode=CHN8,Staname=¸q¦Ë  ,Stalon=120.22,Stalat=23.35,Dist=  34.06,BAZ=118.37,PGA(V)=   0.91,PGA(NS)=   0.97,PGA(EW)=   1.16,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   0.91,PGV(SUM)=   0.04
Stacode=CHY1,Staname=¤Ó«O¥«,Stalon=120.29,Stalat=23.46,Dist=  36.29,BAZ=141.33,PGA(V)=   1.22,PGA(NS)=   1.30,PGA(EW)=   1.61,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.41,PGV(SUM)=   0.05
