Origin Time:2025/01/25 06:01:57
Lon:120.50¢XE
Lat:23.17¢XN
Depth:15.2km
Mag:5.1
Stacode=SNS ,Staname=´¿¤å  ,Stalon=120.50,Stalat=23.22,Dist=   5.98,BAZ=175.06,PGA(V)=  21.84,PGA(NS)=  90.31,PGA(EW)=  48.98,PGV(V)=   0.78,PGV(NS)=   3.71,PGV(EW)=   1.64,Int= 4¯Å,PGA(SUM)=  89.32,PGV(SUM)=   3.96
Stacode=SGS ,Staname=¥Ò¥P  ,Stalon=120.59,Stalat=23.08,Dist=  13.11,BAZ=316.30,PGA(V)=  12.21,PGA(NS)=  31.63,PGA(EW)=  41.79,PGV(V)=   0.45,PGV(NS)=   1.26,PGV(EW)=   1.22,Int= 4¯Å,PGA(SUM)=  39.72,PGV(SUM)=   1.38
Stacode=WTP ,Staname=¤j®H  ,Stalon=120.62,Stalat=23.24,Dist=  15.00,BAZ=234.94,PGA(V)=   8.67,PGA(NS)=  27.58,PGA(EW)=  45.88,PGV(V)=   0.35,PGV(NS)=   0.42,PGV(EW)=   1.20,Int= 4¯Å,PGA(SUM)=  34.57,PGV(SUM)=   1.22
Stacode=SSH ,Staname=µ½¤Æ  ,Stalon=120.29,Stalat=23.14,Dist=  22.17,BAZ= 81.41,PGA(V)=  15.00,PGA(NS)=  30.50,PGA(EW)=  25.43,PGV(V)=   0.42,PGV(NS)=   1.72,PGV(EW)=   1.31,Int= 4¯Å,PGA(SUM)=  35.76,PGV(SUM)=   1.99
Stacode=SHH ,Staname=·s¤Æ  ,Stalon=120.35,Stalat=23.02,Dist=  22.52,BAZ= 44.63,PGA(V)=  10.89,PGA(NS)=  23.29,PGA(EW)=  20.62,PGV(V)=   0.60,PGV(NS)=   0.92,PGV(EW)=   1.17,Int= 4¯Å,PGA(SUM)=  25.30,PGV(SUM)=   1.21
Stacode=C015,Staname=¥Õªe  ,Stalon=120.41,Stalat=23.35,Dist=  22.54,BAZ=156.47,PGA(V)=  18.20,PGA(NS)=  18.50,PGA(EW)=  38.49,PGV(V)=   0.40,PGV(NS)=   0.70,PGV(EW)=   1.08,Int= 4¯Å,PGA(SUM)=  30.65,PGV(SUM)=   1.15
Stacode=SLG ,Staname=¤»Àt  ,Stalon=120.65,Stalat=22.99,Dist=  24.15,BAZ=322.38,PGA(V)=   5.46,PGA(NS)=   8.07,PGA(EW)=  10.35,PGV(V)=   0.20,PGV(NS)=   0.26,PGV(EW)=   0.49,Int= 3¯Å,PGA(SUM)=   9.77,PGV(SUM)=   0.52
Stacode=STYH,Staname=®ç·½  ,Stalon=120.78,Stalat=23.18,Dist=  28.58,BAZ=267.05,PGA(V)=   9.36,PGA(NS)=   7.49,PGA(EW)=  10.13,PGV(V)=   0.26,PGV(NS)=   0.18,PGV(EW)=   0.27,Int= 3¯Å,PGA(SUM)=   8.97,PGV(SUM)=   0.29
Stacode=TAI1,Staname=¥Ã±d  ,Stalon=120.24,Stalat=23.04,Dist=  30.69,BAZ= 62.49,PGA(V)=   3.17,PGA(NS)=   5.20,PGA(EW)=   5.46,PGV(V)=   0.12,PGV(NS)=   0.30,PGV(EW)=   0.31,Int= 2¯Å,PGA(SUM)=   5.63,PGV(SUM)=   0.38
Stacode=SCL ,Staname=¨Î¨½  ,Stalon=120.20,Stalat=23.17,Dist=  30.78,BAZ= 91.71,PGA(V)=   7.16,PGA(NS)=  10.63,PGA(EW)=   9.14,PGV(V)=   0.19,PGV(NS)=   0.49,PGV(EW)=   0.63,Int= 3¯Å,PGA(SUM)=  10.69,PGV(SUM)=   0.74
Stacode=SCS ,Staname=ºX¤s  ,Stalon=120.49,Stalat=22.89,Dist=  31.08,BAZ=  1.61,PGA(V)=   5.68,PGA(NS)=   6.11,PGA(EW)=   7.66,PGV(V)=   0.19,PGV(NS)=   0.27,PGV(EW)=   0.31,Int= 3¯Å,PGA(SUM)=   8.06,PGV(SUM)=   0.35
Stacode=WCKO,Staname=µf¸ô  ,Stalon=120.60,Stalat=23.44,Dist=  31.95,BAZ=199.13,PGA(V)=   9.94,PGA(NS)=  36.41,PGA(EW)=  32.66,PGV(V)=   0.42,PGV(NS)=   1.02,PGV(EW)=   1.12,Int= 4¯Å,PGA(SUM)=  42.78,PGV(SUM)=   1.33
Stacode=CHN8,Staname=¸q¦Ë  ,Stalon=120.22,Stalat=23.35,Dist=  34.95,BAZ=125.06,PGA(V)=   5.37,PGA(NS)=  12.33,PGA(EW)=   9.08,PGV(V)=   0.14,PGV(NS)=   0.45,PGV(EW)=   0.39,Int= 3¯Å,PGA(SUM)=  11.20,PGV(SUM)=   0.48
Stacode=TAI ,Staname=»O«n¥«,Stalon=120.20,Stalat=22.99,Dist=  36.00,BAZ= 57.89,PGA(V)=   2.73,PGA(NS)=   4.28,PGA(EW)=   3.56,PGV(V)=   0.14,PGV(NS)=   0.26,PGV(EW)=   0.23,Int= 2¯Å,PGA(SUM)=   3.74,PGV(SUM)=   0.29
Stacode=CHY ,Staname=¹Å¸q¥«,Stalon=120.43,Stalat=23.50,Dist=  37.27,BAZ=168.95,PGA(V)=   5.01,PGA(NS)=  12.42,PGA(EW)=  13.27,PGV(V)=   0.14,PGV(NS)=   0.50,PGV(EW)=   0.43,Int= 3¯Å,PGA(SUM)=  13.19,PGV(SUM)=   0.52
Stacode=CHY1,Staname=¤Ó«O¥«,Stalon=120.29,Stalat=23.46,Dist=  38.64,BAZ=146.52,PGA(V)=   5.74,PGA(NS)=  13.67,PGA(EW)=  13.02,PGV(V)=   0.20,PGV(NS)=   0.40,PGV(EW)=   0.39,Int= 3¯Å,PGA(SUM)=  17.82,PGV(SUM)=   0.48
Stacode=CHN2,Staname=¥Á¶¯  ,Stalon=120.47,Stalat=23.53,Dist=  40.62,BAZ=175.97,PGA(V)=  11.43,PGA(NS)=  21.71,PGA(EW)=  18.00,PGV(V)=   0.36,PGV(NS)=   0.45,PGV(EW)=   0.44,Int= 3¯Å,PGA(SUM)=  13.09,PGV(SUM)=   0.52
Stacode=D009,Staname=¸ô¦Ë  ,Stalon=120.26,Stalat=22.87,Dist=  41.08,BAZ= 36.43,PGA(V)=   1.66,PGA(NS)=   3.77,PGA(EW)=   4.71,PGV(V)=   0.11,PGV(NS)=   0.34,PGV(EW)=   0.23,Int= 2¯Å,PGA(SUM)=   4.55,PGV(SUM)=   0.37
Stacode=WSL ,Staname=¤ôªL  ,Stalon=120.23,Stalat=23.52,Dist=  48.45,BAZ=144.60,PGA(V)=   3.77,PGA(NS)=  11.31,PGA(EW)=  16.33,PGV(V)=   0.13,PGV(NS)=   0.35,PGV(EW)=   0.41,Int= 3¯Å,PGA(SUM)=  18.16,PGV(SUM)=   0.51
Stacode=SSD ,Staname=¤T¦aªù,Stalon=120.64,Stalat=22.74,Dist=  48.79,BAZ=343.18,PGA(V)=   1.65,PGA(NS)=   2.26,PGA(EW)=   2.36,PGV(V)=   0.06,PGV(NS)=   0.07,PGV(EW)=   0.12,Int= 1¯Å,PGA(SUM)=   2.21,PGV(SUM)=   0.13
Stacode=SNJ ,Staname=·£±ê  ,Stalon=120.34,Stalat=22.75,Dist=  48.81,BAZ= 20.55,PGA(V)=   1.96,PGA(NS)=   4.11,PGA(EW)=   3.31,PGV(V)=   0.06,PGV(NS)=   0.13,PGV(EW)=   0.13,Int= 2¯Å,PGA(SUM)=   4.11,PGV(SUM)=   0.14
Stacode=SGL ,Staname=¤E¦p  ,Stalon=120.50,Stalat=22.72,Dist=  49.01,BAZ=  0.44,PGA(V)=   0.53,PGA(NS)=   1.08,PGA(EW)=   1.28,PGV(V)=   0.04,PGV(NS)=   0.10,PGV(EW)=   0.11,Int= 1¯Å,PGA(SUM)=   1.33,PGV(SUM)=   0.13
Stacode=ALS ,Staname=ªü¨½¤s,Stalon=120.81,Stalat=23.51,Dist=  49.49,BAZ=219.99,PGA(V)=   3.26,PGA(NS)=   6.84,PGA(EW)=   5.20,PGV(V)=   0.12,PGV(NS)=   0.32,PGV(EW)=   0.22,Int= 2¯Å,PGA(SUM)=   7.45,PGV(SUM)=   0.32
Stacode=CHN5,Staname=¯óÀ­  ,Stalon=120.68,Stalat=23.60,Dist=  50.98,BAZ=200.49,PGA(V)=   5.27,PGA(NS)=   9.07,PGA(EW)=  11.87,PGV(V)=   0.35,PGV(NS)=   0.47,PGV(EW)=   0.68,Int= 3¯Å,PGA(SUM)=  12.48,PGV(SUM)=   0.77
Stacode=SMG ,Staname=º¿®a  ,Stalon=120.64,Stalat=22.71,Dist=  53.07,BAZ=344.03,PGA(V)=   0.69,PGA(NS)=   1.57,PGA(EW)=   1.26,PGV(V)=   0.03,PGV(NS)=   0.03,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.35,PGV(SUM)=   0.05
Stacode=ELD ,Staname=§Q½_  ,Stalon=121.03,Stalat=23.19,Dist=  53.57,BAZ=267.50,PGA(V)=   1.51,PGA(NS)=   1.74,PGA(EW)=   1.99,PGV(V)=   0.05,PGV(NS)=   0.06,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   2.10,PGV(SUM)=   0.08
Stacode=SPT ,Staname=«ÌªF¥«,Stalon=120.50,Stalat=22.68,Dist=  54.19,BAZ=  0.68,PGA(V)=   0.83,PGA(NS)=   0.98,PGA(EW)=   1.35,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   1.35,PGV(SUM)=   0.10
