Origin Time:2025/01/27 09:58:42
Lon:120.53°E
Lat:23.21°N
Depth:11.6km
Mag:4.7
Stacode=CHN1,Staname=楠西  ,Stalon=120.53,Stalat=23.18,Dist=   2.50,BAZ=  9.58,PGA(V)=  11.82,PGA(NS)=  19.63,PGA(EW)=  17.06,PGV(V)=   0.29,PGV(NS)=   0.53,PGV(EW)=   0.46,Int= 3級,PGA(SUM)=  19.45,PGV(SUM)=   0.56
Stacode=SNS ,Staname=曾文  ,Stalon=120.50,Stalat=23.22,Dist=   3.88,BAZ=111.13,PGA(V)=  11.08,PGA(NS)=  25.71,PGA(EW)=  40.38,PGV(V)=   0.36,PGV(NS)=   1.08,PGV(EW)=   1.58,Int= 4級,PGA(SUM)=  40.59,PGV(SUM)=   1.62
Stacode=WTP ,Staname=大埔  ,Stalon=120.62,Stalat=23.24,Dist=  10.03,BAZ=246.14,PGA(V)=   8.59,PGA(NS)=  37.71,PGA(EW)=  45.96,PGV(V)=   0.26,PGV(NS)=   0.69,PGV(EW)=   1.10,Int= 4級,PGA(SUM)=  28.98,PGV(SUM)=   1.14
Stacode=SGS ,Staname=甲仙  ,Stalon=120.59,Stalat=23.08,Dist=  15.25,BAZ=337.02,PGA(V)=   2.68,PGA(NS)=   5.11,PGA(EW)=   4.60,PGV(V)=   0.09,PGV(NS)=   0.22,PGV(EW)=   0.31,Int= 2級,PGA(SUM)=   5.19,PGV(SUM)=   0.31
Stacode=C015,Staname=白河  ,Stalon=120.41,Stalat=23.35,Dist=  20.14,BAZ=143.09,PGA(V)=  16.53,PGA(NS)=  36.97,PGA(EW)=  27.97,PGV(V)=   0.43,PGV(NS)=   1.13,PGV(EW)=   1.01,Int= 4級,PGA(SUM)=  42.73,PGV(SUM)=   1.50
Stacode=STYH,Staname=桃源  ,Stalon=120.78,Stalat=23.18,Dist=  25.62,BAZ=276.92,PGA(V)=   3.07,PGA(NS)=   4.24,PGA(EW)=   7.82,PGV(V)=   0.07,PGV(NS)=   0.11,PGV(EW)=   0.18,Int= 2級,PGA(SUM)=   6.30,PGV(SUM)=   0.19
Stacode=SSH ,Staname=善化  ,Stalon=120.29,Stalat=23.14,Dist=  26.24,BAZ= 72.54,PGA(V)=   3.10,PGA(NS)=   3.56,PGA(EW)=   3.70,PGV(V)=   0.11,PGV(NS)=   0.21,PGV(EW)=   0.31,Int= 2級,PGA(SUM)=   3.66,PGV(SUM)=   0.31
Stacode=SLG ,Staname=六龜  ,Stalon=120.65,Stalat=22.99,Dist=  26.39,BAZ=333.85,PGA(V)=   2.08,PGA(NS)=   1.58,PGA(EW)=   1.97,PGV(V)=   0.05,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.88,PGV(SUM)=   0.08
Stacode=WCKO,Staname=番路  ,Stalon=120.60,Stalat=23.44,Dist=  26.67,BAZ=196.03,PGA(V)=   9.37,PGA(NS)=  30.28,PGA(EW)=  33.58,PGV(V)=   0.18,PGV(NS)=   0.84,PGV(EW)=   0.78,Int= 4級,PGA(SUM)=  27.49,PGV(SUM)=   1.01
Stacode=SHH ,Staname=新化  ,Stalon=120.35,Stalat=23.02,Dist=  27.96,BAZ= 42.59,PGA(V)=   1.74,PGA(NS)=   2.44,PGA(EW)=   2.76,PGV(V)=   0.05,PGV(NS)=   0.10,PGV(EW)=   0.09,Int= 2級,PGA(SUM)=   2.58,PGV(SUM)=   0.11
Stacode=CHY ,Staname=嘉義市,Stalon=120.43,Stalat=23.50,Dist=  33.62,BAZ=162.26,PGA(V)=   3.32,PGA(NS)=   7.55,PGA(EW)=   8.47,PGV(V)=   0.09,PGV(NS)=   0.39,PGV(EW)=   0.35,Int= 3級,PGA(SUM)=   8.09,PGV(SUM)=   0.44
Stacode=SCL ,Staname=佳里  ,Stalon=120.20,Stalat=23.17,Dist=  34.06,BAZ= 83.87,PGA(V)=   1.38,PGA(NS)=   2.27,PGA(EW)=   2.48,PGV(V)=   0.06,PGV(NS)=   0.14,PGV(EW)=   0.16,Int= 1級,PGA(SUM)=   2.10,PGV(SUM)=   0.16
Stacode=CHN8,Staname=義竹  ,Stalon=120.22,Stalat=23.35,Dist=  35.30,BAZ=116.08,PGA(V)=   2.86,PGA(NS)=   3.53,PGA(EW)=   3.76,PGV(V)=   0.06,PGV(NS)=   0.16,PGV(EW)=   0.14,Int= 2級,PGA(SUM)=   3.84,PGV(SUM)=   0.18
Stacode=TAI1,Staname=永康  ,Stalon=120.24,Stalat=23.04,Dist=  35.64,BAZ= 58.29,PGA(V)=   0.77,PGA(NS)=   1.10,PGA(EW)=   1.08,PGV(V)=   0.03,PGV(NS)=   0.12,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.10,PGV(SUM)=   0.13
Stacode=SCS ,Staname=旗山  ,Stalon=120.49,Stalat=22.89,Dist=  35.84,BAZ=  6.38,PGA(V)=   1.00,PGA(NS)=   1.15,PGA(EW)=   1.11,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.34,PGV(SUM)=   0.07
Stacode=CHN2,Staname=民雄  ,Stalon=120.47,Stalat=23.53,Dist=  36.45,BAZ=170.60,PGA(V)=   8.71,PGA(NS)=  15.50,PGA(EW)=  13.18,PGV(V)=   0.16,PGV(NS)=   0.40,PGV(EW)=   0.37,Int= 3級,PGA(SUM)=  12.14,PGV(SUM)=   0.40
