Origin Time:2025/01/30 10:15:22
Lon:120.59¢XE
Lat:23.27¢XN
Depth:11.2km
Mag:4.4
Stacode=WTP ,Staname=¤j®H  ,Stalon=120.62,Stalat=23.24,Dist=   3.82,BAZ=310.76,PGA(V)=  23.85,PGA(NS)=  47.50,PGA(EW)= 107.73,PGV(V)=   0.30,PGV(NS)=   0.80,PGV(EW)=   2.57,Int= 4¯Å,PGA(SUM)=  90.05,PGV(SUM)=   2.58
Stacode=SNS ,Staname=´¿¤å  ,Stalon=120.50,Stalat=23.22,Dist=  11.16,BAZ= 62.49,PGA(V)=   2.09,PGA(NS)=   9.00,PGA(EW)=   7.05,PGV(V)=   0.06,PGV(NS)=   0.20,PGV(EW)=   0.31,Int= 2¯Å,PGA(SUM)=   7.96,PGV(SUM)=   0.34
Stacode=CHN1,Staname=·£¦è  ,Stalon=120.53,Stalat=23.18,Dist=  11.23,BAZ= 36.58,PGA(V)=   3.79,PGA(NS)=   5.31,PGA(EW)=   7.13,PGV(V)=   0.08,PGV(NS)=   0.13,PGV(EW)=   0.16,Int= 2¯Å,PGA(SUM)=   4.19,PGV(SUM)=   0.17
Stacode=WCKO,Staname=µf¸ô  ,Stalon=120.60,Stalat=23.44,Dist=  19.11,BAZ=183.28,PGA(V)=   7.52,PGA(NS)=  13.96,PGA(EW)=  12.15,PGV(V)=   0.17,PGV(NS)=   0.41,PGV(EW)=   0.43,Int= 3¯Å,PGA(SUM)=  13.39,PGV(SUM)=   0.45
Stacode=SGS ,Staname=¥Ò¥P  ,Stalon=120.59,Stalat=23.08,Dist=  20.59,BAZ=  0.91,PGA(V)=   0.56,PGA(NS)=   1.77,PGA(EW)=   1.47,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.68,PGV(SUM)=   0.07
Stacode=C015,Staname=¥Õªe  ,Stalon=120.41,Stalat=23.35,Dist=  20.70,BAZ=117.48,PGA(V)=   6.94,PGA(NS)=   4.88,PGA(EW)=   7.65,PGV(V)=   0.14,PGV(NS)=   0.15,PGV(EW)=   0.26,Int= 2¯Å,PGA(SUM)=   7.79,PGV(SUM)=   0.28
Stacode=STYH,Staname=®ç·½  ,Stalon=120.78,Stalat=23.18,Dist=  21.44,BAZ=296.72,PGA(V)=   3.40,PGA(NS)=   6.92,PGA(EW)=   6.61,PGV(V)=   0.06,PGV(NS)=   0.19,PGV(EW)=   0.14,Int= 2¯Å,PGA(SUM)=   6.26,PGV(SUM)=   0.19
Stacode=CHY ,Staname=¹Å¸q¥«,Stalon=120.43,Stalat=23.50,Dist=  30.35,BAZ=147.05,PGA(V)=   2.04,PGA(NS)=   3.84,PGA(EW)=   4.00,PGV(V)=   0.06,PGV(NS)=   0.15,PGV(EW)=   0.14,Int= 2¯Å,PGA(SUM)=   4.45,PGV(SUM)=   0.15
Stacode=CHN2,Staname=¥Á¶¯  ,Stalon=120.47,Stalat=23.53,Dist=  31.85,BAZ=157.43,PGA(V)=   3.96,PGA(NS)=   8.26,PGA(EW)=   6.08,PGV(V)=   0.10,PGV(NS)=   0.25,PGV(EW)=   0.32,Int= 2¯Å,PGA(SUM)=   6.88,PGV(SUM)=   0.33
Stacode=SSH ,Staname=µ½¤Æ  ,Stalon=120.29,Stalat=23.14,Dist=  34.46,BAZ= 65.26,PGA(V)=   1.65,PGA(NS)=   2.61,PGA(EW)=   2.19,PGV(V)=   0.04,PGV(NS)=   0.14,PGV(EW)=   0.10,Int= 2¯Å,PGA(SUM)=   2.97,PGV(SUM)=   0.17
Stacode=ALS ,Staname=ªü¨½¤s,Stalon=120.81,Stalat=23.51,Dist=  34.95,BAZ=219.91,PGA(V)=   1.68,PGA(NS)=   6.01,PGA(EW)=   3.84,PGV(V)=   0.06,PGV(NS)=   0.12,PGV(EW)=   0.10,Int= 2¯Å,PGA(SUM)=   5.21,PGV(SUM)=   0.14
