Origin Time:2025/02/06 07:38:38
Lon:120.55¢XE
Lat:23.21¢XN
Depth:17.0km
Mag:4.0
Stacode=CHN1,Staname=·£¦è  ,Stalon=120.53,Stalat=23.18,Dist=   3.39,BAZ= 31.39,PGA(V)=   5.49,PGA(NS)=   8.28,PGA(EW)=   6.96,PGV(V)=   0.13,PGV(NS)=   0.26,PGV(EW)=   0.17,Int= 3¯Å,PGA(SUM)=   9.48,PGV(SUM)=   0.28
Stacode=SNS ,Staname=´¿¤å  ,Stalon=120.50,Stalat=23.22,Dist=   5.06,BAZ=101.10,PGA(V)=   5.38,PGA(NS)=   4.57,PGA(EW)=   4.14,PGV(V)=   0.10,PGV(NS)=   0.13,PGV(EW)=   0.13,Int= 2¯Å,PGA(SUM)=   4.89,PGV(SUM)=   0.15
Stacode=WTP ,Staname=¤j®H  ,Stalon=120.62,Stalat=23.24,Dist=   8.63,BAZ=245.10,PGA(V)=   5.28,PGA(NS)=  36.59,PGA(EW)=  67.63,PGV(V)=   0.11,PGV(NS)=   0.44,PGV(EW)=   1.31,Int= 4¯Å,PGA(SUM)=  53.45,PGV(SUM)=   1.39
Stacode=SGS ,Staname=¥Ò¥P  ,Stalon=120.59,Stalat=23.08,Dist=  15.18,BAZ=342.34,PGA(V)=   1.96,PGA(NS)=   3.76,PGA(EW)=   3.74,PGV(V)=   0.04,PGV(NS)=   0.10,PGV(EW)=   0.08,Int= 2¯Å,PGA(SUM)=   3.55,PGV(SUM)=   0.10
Stacode=C015,Staname=¥Õªe  ,Stalon=120.41,Stalat=23.35,Dist=  20.66,BAZ=139.39,PGA(V)=  16.07,PGA(NS)=  31.97,PGA(EW)=  42.10,PGV(V)=   0.32,PGV(NS)=   0.53,PGV(EW)=   1.13,Int= 4¯Å,PGA(SUM)=  40.31,PGV(SUM)=   1.24
Stacode=STYH,Staname=®ç·½  ,Stalon=120.78,Stalat=23.18,Dist=  24.34,BAZ=278.29,PGA(V)=   1.67,PGA(NS)=   1.83,PGA(EW)=   1.55,PGV(V)=   0.03,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   1.45,PGV(SUM)=   0.04
Stacode=WCKO,Staname=µf¸ô  ,Stalon=120.60,Stalat=23.44,Dist=  25.91,BAZ=193.43,PGA(V)=   1.04,PGA(NS)=   2.53,PGA(EW)=   1.89,PGV(V)=   0.03,PGV(NS)=   0.09,PGV(EW)=   0.07,Int= 2¯Å,PGA(SUM)=   2.69,PGV(SUM)=   0.11
Stacode=SLG ,Staname=¤»Àt  ,Stalon=120.65,Stalat=22.99,Dist=  26.21,BAZ=336.90,PGA(V)=   0.91,PGA(NS)=   0.71,PGA(EW)=   0.88,PGV(V)=   0.01,PGV(NS)=   0.02,PGV(EW)=   0.02,Int= 1¯Å,PGA(SUM)=   0.87,PGV(SUM)=   0.03
Stacode=SSH ,Staname=µ½¤Æ  ,Stalon=120.29,Stalat=23.14,Dist=  27.65,BAZ= 72.54,PGA(V)=   1.81,PGA(NS)=   2.56,PGA(EW)=   2.63,PGV(V)=   0.04,PGV(NS)=   0.10,PGV(EW)=   0.10,Int= 2¯Å,PGA(SUM)=   2.91,PGV(SUM)=   0.12
Stacode=SHH ,Staname=·s¤Æ  ,Stalon=120.35,Stalat=23.02,Dist=  29.19,BAZ= 43.98,PGA(V)=   0.71,PGA(NS)=   1.10,PGA(EW)=   1.19,PGV(V)=   0.03,PGV(NS)=   0.04,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.26,PGV(SUM)=   0.05
Stacode=CHY ,Staname=¹Å¸q¥«,Stalon=120.43,Stalat=23.50,Dist=  33.65,BAZ=159.86,PGA(V)=   1.41,PGA(NS)=   3.00,PGA(EW)=   2.62,PGV(V)=   0.03,PGV(NS)=   0.11,PGV(EW)=   0.07,Int= 2¯Å,PGA(SUM)=   2.81,PGV(SUM)=   0.12
