Origin Time:2025/02/10 10:39:54
Lon:120.51¢XE
Lat:23.16¢XN
Depth:16.2km
Mag:4.0
Stacode=CHN1,Staname=·£¦è  ,Stalon=120.53,Stalat=23.18,Dist=   3.38,BAZ=223.23,PGA(V)=   3.40,PGA(NS)=   9.33,PGA(EW)=   7.81,PGV(V)=   0.08,PGV(NS)=   0.18,PGV(EW)=   0.13,Int= 3¯Å,PGA(SUM)=   8.29,PGV(SUM)=   0.19
Stacode=SNS ,Staname=´¿¤å  ,Stalon=120.50,Stalat=23.22,Dist=   6.39,BAZ=171.99,PGA(V)=   2.14,PGA(NS)=   4.39,PGA(EW)=   3.59,PGV(V)=   0.03,PGV(NS)=   0.16,PGV(EW)=   0.08,Int= 2¯Å,PGA(SUM)=   4.59,PGV(SUM)=   0.17
Stacode=SGS ,Staname=¥Ò¥P  ,Stalon=120.59,Stalat=23.08,Dist=  12.59,BAZ=316.37,PGA(V)=   1.16,PGA(NS)=   5.61,PGA(EW)=   4.29,PGV(V)=   0.03,PGV(NS)=   0.13,PGV(EW)=   0.17,Int= 2¯Å,PGA(SUM)=   5.40,PGV(SUM)=   0.18
Stacode=WTP ,Staname=¤j®H  ,Stalon=120.62,Stalat=23.24,Dist=  14.91,BAZ=232.95,PGA(V)=   1.73,PGA(NS)=   6.89,PGA(EW)=  14.49,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.20,Int= 3¯Å,PGA(SUM)=   8.08,PGV(SUM)=   0.20
Stacode=SSH ,Staname=µ½¤Æ  ,Stalon=120.29,Stalat=23.14,Dist=  22.49,BAZ= 82.48,PGA(V)=   5.37,PGA(NS)=   3.72,PGA(EW)=   5.24,PGV(V)=   0.07,PGV(NS)=   0.08,PGV(EW)=   0.15,Int= 2¯Å,PGA(SUM)=   4.79,PGV(SUM)=   0.15
Stacode=SHH ,Staname=·s¤Æ  ,Stalon=120.35,Stalat=23.02,Dist=  22.52,BAZ= 45.97,PGA(V)=   2.28,PGA(NS)=   4.19,PGA(EW)=   4.40,PGV(V)=   0.07,PGV(NS)=   0.12,PGV(EW)=   0.13,Int= 2¯Å,PGA(SUM)=   4.62,PGV(SUM)=   0.15
Stacode=C015,Staname=¥Õªe  ,Stalon=120.41,Stalat=23.35,Dist=  23.03,BAZ=155.99,PGA(V)=   3.03,PGA(NS)=   4.82,PGA(EW)=   5.25,PGV(V)=   0.06,PGV(NS)=   0.12,PGV(EW)=   0.14,Int= 2¯Å,PGA(SUM)=   4.64,PGV(SUM)=   0.14
Stacode=SLG ,Staname=¤»Àt  ,Stalon=120.65,Stalat=22.99,Dist=  23.62,BAZ=322.55,PGA(V)=   0.97,PGA(NS)=   1.20,PGA(EW)=   1.99,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   2.06,PGV(SUM)=   0.06
Stacode=STYH,Staname=®ç·½  ,Stalon=120.78,Stalat=23.18,Dist=  28.22,BAZ=266.26,PGA(V)=   2.00,PGA(NS)=   1.80,PGA(EW)=   3.29,PGV(V)=   0.04,PGV(NS)=   0.04,PGV(EW)=   0.06,Int= 2¯Å,PGA(SUM)=   2.62,PGV(SUM)=   0.06
Stacode=SCS ,Staname=ºX¤s  ,Stalon=120.49,Stalat=22.89,Dist=  30.72,BAZ=  2.33,PGA(V)=   1.42,PGA(NS)=   1.84,PGA(EW)=   1.16,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.85,PGV(SUM)=   0.06
Stacode=TAI1,Staname=¥Ã±d  ,Stalon=120.24,Stalat=23.04,Dist=  30.85,BAZ= 63.42,PGA(V)=   0.67,PGA(NS)=   0.89,PGA(EW)=   1.06,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   1.14,PGV(SUM)=   0.03
