Origin Time:2025/04/09 09:53:25
Lon:121.81¢XE
Lat:24.60¢XN
Depth:72.4km
Mag:5.8
Stacode=TWC ,Staname=Ä¬¿D  ,Stalon=121.86,Stalat=24.61,Dist=   5.31,BAZ=257.31,PGA(V)=   8.69,PGA(NS)=  12.04,PGA(EW)=  13.02,PGV(V)=   0.25,PGV(NS)=   0.40,PGV(EW)=   0.56,Int= 3¯Å,PGA(SUM)=  15.71,PGV(SUM)=   0.60
Stacode=NDS ,Staname=¥V¤s  ,Stalon=121.72,Stalat=24.63,Dist=  10.15,BAZ=113.36,PGA(V)=   7.22,PGA(NS)=  10.17,PGA(EW)=   8.24,PGV(V)=   0.32,PGV(NS)=   0.57,PGV(EW)=   0.59,Int= 3¯Å,PGA(SUM)=  12.25,PGV(SUM)=   0.67
Stacode=EWT ,Staname=ªZ¶ð  ,Stalon=121.78,Stalat=24.45,Dist=  17.19,BAZ= 10.37,PGA(V)=  15.03,PGA(NS)=  30.67,PGA(EW)=  21.70,PGV(V)=   0.61,PGV(NS)=   1.36,PGV(EW)=   1.31,Int= 4¯Å,PGA(SUM)=  26.01,PGV(SUM)=   1.39
Stacode=TWE ,Staname=¤º«°  ,Stalon=121.68,Stalat=24.72,Dist=  18.45,BAZ=136.30,PGA(V)=   4.43,PGA(NS)=   7.90,PGA(EW)=  10.04,PGV(V)=   0.16,PGV(NS)=   0.33,PGV(EW)=   0.65,Int= 3¯Å,PGA(SUM)=  10.29,PGV(SUM)=   0.67
Stacode=ILA ,Staname=©yÄõ¥«,Stalon=121.76,Stalat=24.76,Dist=  19.15,BAZ=163.89,PGA(V)=  10.29,PGA(NS)=  17.93,PGA(EW)=  23.79,PGV(V)=   0.31,PGV(NS)=   1.27,PGV(EW)=   1.31,Int= 3¯Å,PGA(SUM)=  23.81,PGV(SUM)=   1.50
Stacode=ENA ,Staname=«n¿D  ,Stalon=121.75,Stalat=24.43,Dist=  19.97,BAZ= 17.68,PGA(V)=  12.53,PGA(NS)=  31.29,PGA(EW)=  43.30,PGV(V)=   0.23,PGV(NS)=   0.52,PGV(EW)=   0.81,Int= 4¯Å,PGA(SUM)=  26.60,PGV(SUM)=   0.90
Stacode=ENT ,Staname=¤û°«  ,Stalon=121.57,Stalat=24.64,Dist=  24.22,BAZ=100.58,PGA(V)=   5.04,PGA(NS)=  12.14,PGA(EW)=  12.52,PGV(V)=   0.13,PGV(NS)=   0.43,PGV(EW)=   0.55,Int= 3¯Å,PGA(SUM)=  13.53,PGV(SUM)=   0.55
Stacode=NTC ,Staname=ÀY«°  ,Stalon=121.83,Stalat=24.85,Dist=  28.42,BAZ=184.36,PGA(V)=   8.37,PGA(NS)=  24.22,PGA(EW)=  14.03,PGV(V)=   0.32,PGV(NS)=   1.34,PGV(EW)=   0.75,Int= 3¯Å,PGA(SUM)=  24.26,PGV(SUM)=   1.40
Stacode=NDT ,Staname=¤j¦P  ,Stalon=121.51,Stalat=24.60,Dist=  29.98,BAZ= 91.02,PGA(V)=   2.68,PGA(NS)=   3.58,PGA(EW)=   4.69,PGV(V)=   0.08,PGV(NS)=   0.17,PGV(EW)=   0.21,Int= 2¯Å,PGA(SUM)=   4.57,PGV(SUM)=   0.22
Stacode=EGS ,Staname=Àt¤s®q,Stalon=121.94,Stalat=24.84,Dist=  30.38,BAZ=206.71,PGA(V)=   2.09,PGA(NS)=   1.69,PGA(EW)=   2.34,PGV(V)=   0.11,PGV(NS)=   0.12,PGV(EW)=   0.16,Int= 2¯Å,PGA(SUM)=   2.80,PGV(SUM)=   0.17
Stacode=EAH ,Staname=¿Dªá  ,Stalon=121.74,Stalat=24.33,Dist=  30.55,BAZ= 13.34,PGA(V)=   7.33,PGA(NS)=   8.85,PGA(EW)=  10.13,PGV(V)=   0.21,PGV(NS)=   0.33,PGV(EW)=   0.36,Int= 3¯Å,PGA(SUM)=  10.23,PGV(SUM)=   0.39
